,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,match_id,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,team_name,opp_name,scheduled,is_home,match_id,points,goals
20,20.0,0.2896387945809728,0.35635979152282404,0.3540014138962033,0.0,0.0,0.0,1.0,0.0,3.0,1.0,98.0,Hamburger SV,1.0,0.0,1.0,2016-11-20 14:30:00,1899 Hoffenheim,1899 Hoffenheim,Hamburger SV,2016-11-20 14:30:00,1,98.0,1.0,2.0
21,21.0,0.2592233815691202,0.3393220415322904,0.4014545768985893,0.0,0.0,1.0,0.0,0.0,3.0,3.0,98.0,1899 Hoffenheim,0.0,3.0,3.0,2016-11-20 14:30:00,Hamburger SV,FC Schalke 04,VfL Wolfsburg,2016-11-19 14:30:00,0,95.0,3.0,1.0
22,22.0,0.2758620526764339,0.31725892131423034,0.4068790260093358,1.0,3.0,3.0,0.0,1.0,3.0,3.0,95.0,VfL Wolfsburg,1.0,3.0,3.0,2016-11-19 14:30:00,FC Schalke 04,Hertha BSC,FC Augsburg,2016-11-19 14:30:00,0,94.0,1.0,0.0
23,23.0,0.2612381050237082,0.32715553470481595,0.4116063602714759,0.0,0.0,0.0,1.0,0.0,3.0,3.0,95.0,FC Schalke 04,1.0,3.0,1.0,2016-11-19 14:30:00,VfL Wolfsburg,SC Freiburg,1 FSV Mainz 05,2016-11-19 14:30:00,0,92.0,0.0,2.0
24,24.0,0.3185205789858574,0.3244156694590929,0.3570637515550497,1.0,3.0,3.0,0.0,1.0,3.0,3.0,94.0,FC Augsburg,1.0,0.0,3.0,2016-11-19 14:30:00,Hertha BSC,Hamburger SV,1899 Hoffenheim,2016-11-20 14:30:00,0,98.0,1.0,2.0
25,25.0,0.2504304829442214,0.3046856527685381,0.4448838642872405,0.0,3.0,3.0,1.0,0.0,3.0,3.0,94.0,Hertha BSC,0.0,3.0,3.0,2016-11-19 14:30:00,FC Augsburg,Monchengladbach,1 FC Cologne,2016-11-19 14:30:00,1,96.0,0.0,1.0
26,26.0,0.165231541776914,0.33897661398769824,0.4957918442353878,0.0,0.0,0.0,0.0,0.0,3.0,3.0,92.0,1 FSV Mainz 05,0.0,3.0,3.0,2016-11-19 14:30:00,SC Freiburg,Borussia Dortmund,Bayern Munich,2016-11-19 17:30:00,1,97.0,3.0,1.0
27,27.0,0.4496989931065313,0.2963953408943409,0.2539056659991279,0.0,3.0,1.0,1.0,1.0,0.0,0.0,92.0,SC Freiburg,0.0,0.0,3.0,2016-11-19 14:30:00,1 FSV Mainz 05,FC Augsburg,Hertha BSC,2016-11-19 14:30:00,1,94.0,1.0,0.0
28,28.0,0.5235290789885457,0.3158065102955033,0.1606644107159509,0.0,0.0,0.0,1.0,1.0,0.0,0.0,96.0,1 FC Cologne,0.0,0.0,1.0,2016-11-19 14:30:00,Monchengladbach,Eintracht Frankfurt,Werder Bremen,2016-11-20 16:30:00,0,99.0,3.0,2.0
29,29.0,0.12722901549582416,0.31325463780194823,0.5595163467022275,0.0,0.0,0.0,0.0,1.0,3.0,3.0,96.0,Monchengladbach,1.0,3.0,3.0,2016-11-19 14:30:00,1 FC Cologne,Werder Bremen,Eintracht Frankfurt,2016-11-20 16:30:00,1,99.0,0.0,1.0
