,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,461,95b78309-4180-47df-a036-487edae615ca,scheduled,2016-12-27 00:00:00,2016-12-26 16:00:00,5,8,f62d5b49-d646-56e9-ba60-a875a00830f8
1,462,ea8500a8-fda3-43a1-8b40-91b5fa71464d,scheduled,2016-12-27 00:00:00,2016-12-26 16:00:00,3,23,aecd8da6-0404-599c-a792-4b33fb084a2a
2,463,374b85a6-5911-4efc-8571-4b6b350d1707,scheduled,2016-12-27 00:30:00,2016-12-26 16:30:00,13,2,7a330bcd-ac0f-50ca-bc29-2460e5c476b3
3,464,ef4b8db6-94ef-4deb-8f45-8ec8ad4315a7,scheduled,2016-12-27 00:30:00,2016-12-26 16:30:00,9,6,e83899a5-a6dd-58f8-bd42-34b4857ee714
4,465,0f336b25-33c5-4f57-aa7d-072d9b9987a4,scheduled,2016-12-27 01:00:00,2016-12-26 17:00:00,22,20,5b239206-57ce-50aa-baaa-627f3349dfdc
5,466,3c12dd7f-9b5e-486e-a683-76f3035e07d8,scheduled,2016-12-27 01:00:00,2016-12-26 17:00:00,29,1,7aed802e-3562-5b73-af1b-3859529f9b95
6,467,6ebb1186-2c49-47fb-8be5-ff74b1ce1e63,scheduled,2016-12-27 01:00:00,2016-12-26 17:00:00,7,10,38911649-acfd-551a-949b-68f0fcaa44e7
7,468,e9442675-5d92-42f3-a2a2-0e47115d2d5d,scheduled,2016-12-27 01:00:00,2016-12-26 17:00:00,25,24,6ec47e31-f778-5319-b6c4-3254e076ba0e
8,469,8201bc17-577f-44b1-bdac-b2201cb6852f,scheduled,2016-12-27 03:00:00,2016-12-26 19:00:00,26,11,1d1f74a2-7b35-56f0-8cbd-552c51cb2c14
9,470,393f2df9-1e5d-4e81-9714-f11036862e51,scheduled,2016-12-27 03:30:00,2016-12-26 19:30:00,19,15,2e687b9a-c7a7-487c-85b4-43479abc8458
10,471,ce84a769-bc5a-4772-ac7c-c80c1796c6be,scheduled,2016-12-27 03:30:00,2016-12-26 19:30:00,16,30,792ec100-691e-5e16-8ef8-79b2b6ee38ba
