,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
13,74.0,54,Tottenham Hotspur,46.0,West Bromwich Albion,2016-10-15 14:00:00,8,3.0,0,4-2-3-1,1.0,0.6428571428571429,5,6,1,4,0.7263289036544851,0,0,183.0,4.0,44.0,155.0,1,9.0,28.0,314.0,4,23.0,360.0,19.0,22.0,44.0,143.0,9.0,27.0,162.0,2,4.0,13.0,263.0,4,16.0,248.0,22.0,27.0,27.0,1.0,0.66666,1.0,0.33333
14,73.0,55,Bournemouth AFC,50.0,Hull City,2016-10-15 14:00:00,8,3.0,1,4-2-3-1,0.5,0.0,3,2,6,11,0.48125,0,0,139.0,7.0,25.0,148.0,1,15.0,15.0,255.0,2,10.0,249.0,32.0,25.0,25.0,96.0,4.0,11.0,76.0,2,18.0,9.0,294.0,0,6.0,246.0,51.0,36.0,11.0,0.33333,0.33333,0.33333,0.0
15,80.0,56,Liverpool FC,58.0,Manchester United,2016-10-17 19:00:00,8,3.0,1,4-3-3,1.0,0.5,9,6,3,5,0.4638888888888889,0,0,185.0,4.0,34.0,219.0,4,3.0,27.0,249.0,5,21.0,344.0,15.0,17.0,34.0,188.0,7.0,41.0,165.0,2,7.0,28.0,288.0,4,17.0,318.0,20.0,12.0,41.0,1.0,0.0,0.33333,0.33333
16,78.0,57,Watford FC,51.0,Middlesbrough FC,2016-10-16 12:30:00,8,3.0,0,4-1-4-1,0.5,0.16666666666666666,5,3,5,6,0.51875,0,0,154.0,9.0,27.0,135.0,4,7.0,15.0,289.0,1,15.0,283.0,28.0,25.0,27.0,145.0,6.0,12.0,94.0,2,5.0,10.0,295.0,1,5.0,283.0,33.0,34.0,12.0,0.66666,1.0,0.66666,0.0
17,80.0,58,Manchester United,56.0,Liverpool FC,2016-10-17 19:00:00,8,3.0,0,4-2-3-1,0.5,1.0,6,9,5,3,0.47023809523809523,0,0,188.0,7.0,41.0,165.0,2,7.0,28.0,288.0,4,17.0,318.0,20.0,12.0,41.0,185.0,4.0,34.0,219.0,4,3.0,27.0,249.0,5,21.0,344.0,15.0,17.0,34.0,1.0,0.33333,0.33333,0.33333
18,77.0,59,Crystal Palace,47.0,West Ham United,2016-10-15 16:30:00,8,3.0,1,4-2-3-1,0.8333333333333334,0.16666666666666666,8,3,4,8,0.5833333333333334,0,0,155.0,8.0,23.0,125.0,6,5.0,24.0,291.0,2,15.0,262.0,25.0,26.0,23.0,140.0,8.0,30.0,151.0,3,11.0,16.0,261.0,0,8.0,283.0,27.0,17.0,30.0,0.66666,0.0,0.66666,0.0
19,76.0,60,Sunderland AFC,49.0,Stoke City,2016-10-15 14:00:00,8,3.0,0,4-1-4-1,0.16666666666666666,0.35714285714285715,3,3,5,6,0.41991341991341996,0,0,129.0,7.0,16.0,142.0,2,18.0,10.0,252.0,1,6.0,236.0,47.0,37.0,16.0,130.0,4.0,22.0,133.0,3,13.0,13.0,264.0,0,11.0,270.0,30.0,28.0,22.0,0.0,0.66666,0.0,0.33333
20,59.0,61,1899 Hoffenheim,64.0,SC Freiburg,2016-10-15 13:30:00,7,3.0,1,4-3-3,0.8333333333333334,0.3333333333333333,4,2,2,6,0.40476190476190477,0,0,156.0,5.0,38.0,137.0,0,19.0,10.0,344.0,4,14.0,333.0,36.0,31.0,38.0,144.0,8.0,23.0,120.0,1,5.0,18.0,239.0,1,14.0,264.0,30.0,29.0,23.0,1.0,0.33333,0.0,0.66666
21,57.0,62,FC Schalke 04,68.0,FC Augsburg,2016-10-15 13:30:00,7,3.0,0,4-2-3-1,0.3333333333333333,0.28571428571428575,5,3,4,5,0.483974358974359,0,0,144.0,,28.0,142.0,4,4.0,15.0,303.0,1,17.0,326.0,23.0,26.0,28.0,150.0,6.0,25.0,144.0,2,10.0,8.0,299.0,1,12.0,297.0,26.0,23.0,25.0,0.66666,0.66666,0.66666,1.0
22,55.0,63,Hertha BSC,67.0,Borussia Dortmund,2016-10-14 18:30:00,7,3.0,0,4-2-3-1,0.8076923076923077,0.6666666666666666,7,9,3,3,0.4083184257602862,0,0,152.0,5.0,21.0,115.0,5,6.0,12.0,297.0,2,10.0,319.0,22.0,25.0,21.0,199.0,3.0,42.0,207.0,7,9.0,36.0,264.0,2,24.0,342.0,21.0,13.0,42.0,0.66666,0.0,0.0,1.0
