,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking
29,54.0,50,Hull City,56.0,Liverpool FC,2016-09-24 14:00:00,6,3.0,0,4-3-3,-45,27,-2776.88888889,-1716.0,-26.1111111111,603.0,2,6,0,0,0.0,0.66666
30,57.0,51,Middlesbrough FC,54.0,Tottenham Hotspur,2016-09-24 14:00:00,6,3.0,1,4-2-3-1,-32,24,425.333333333,-669.777777778,-179.111111111,2159.66666667,2,5,0,0,0.0,1.0
31,51.0,52,Leicester City,58.0,Manchester United,2016-09-24 11:30:00,6,3.0,0,4-4-2,27,0,0.0,-912.333333333,-80.0,864.888888889,6,5,0,0,0.33333,0.33333
32,60.0,53,Burnley FC,57.0,Watford FC,2016-09-26 19:00:00,6,3.0,1,4-3-3,-63,13,2492.0,-636.333333333,-85.3333333333,1665.88888889,1,7,0,0,0.0,0.33333
33,57.0,54,Tottenham Hotspur,51.0,Middlesbrough FC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,32,-24,-425.333333333,669.777777778,179.111111111,-2159.66666667,6,1,0,0,1.0,0.66666
34,55.0,55,Bournemouth AFC,44.0,Everton FC,2016-09-24 14:00:00,6,3.0,1,4-3-3,-45,24,-7448.33333333,0.0,-98.3333333333,-5229.0,2,5,0,0,0.33333,1.0
35,54.0,56,Liverpool FC,50.0,Hull City,2016-09-24 14:00:00,6,3.0,1,4-3-3,45,-27,2776.88888889,1716.0,26.1111111111,-603.0,7,3,0,0,0.66666,0.0
36,60.0,57,Watford FC,53.0,Burnley FC,2016-09-26 19:00:00,6,3.0,0,5-3-2,63,-13,-2492.0,636.333333333,85.3333333333,-1665.88888889,8,6,0,0,1.0,0.33333
37,51.0,58,Manchester United,52.0,Leicester City,2016-09-24 11:30:00,6,3.0,1,4-2-3-1,-27,0,0.0,912.333333333,80.0,-864.888888889,3,5,0,0,0.66666,0.33333
38,53.0,59,Crystal Palace,60.0,Sunderland AFC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,48,-16,1961.0,1061.44444444,85.0,1780.77777778,7,3,0,0,0.66666,0.0
39,53.0,60,Sunderland AFC,59.0,Crystal Palace,2016-09-24 14:00:00,6,3.0,1,4-3-3,-48,16,-1961.0,-1061.44444444,-85.0,-1780.77777778,1,5,0,0,0.0,0.66666
40,44.0,61,1899 Hoffenheim,62.0,FC Schalke 04,2016-09-25 13:30:00,5,3.0,1,4-3-3,24,-24,-3655.0,652.333333333,74.6666666667,-2972.44444444,5,5,0,0,1.0,0.33333
41,44.0,62,FC Schalke 04,61.0,1899 Hoffenheim,2016-09-25 13:30:00,5,3.0,0,4-2-3-1,-24,24,3655.0,-652.333333333,-74.6666666667,2972.44444444,1,7,0,0,0.0,0.0
42,38.0,63,Hertha BSC,69.0,Eintracht Frankfurt,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,0,5,-62.7777777778,-456.0,-96.3333333333,-1304.33333333,4,3,0,0,0.0,1.0
43,37.0,64,SC Freiburg,67.0,Borussia Dortmund,2016-09-23 18:30:00,5,3.0,0,4-1-3-2,-105,12,-2033.22222222,-1050.55555556,-72.1111111111,-600.0,4,4,0,0,0.33333,1.0
44,41.0,65,Hamburger SV,76.0,Bayern Munich,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,-63,63,-11076.3333333,-2080.0,-85.3333333333,-7117.0,1,8,0,0,0.0,1.0
45,42.0,66,Monchengladbach,72.0,FC Ingolstadt,2016-09-24 13:30:00,5,3.0,1,3-4-3,35,-24,3466.66666667,-161.666666667,-44.4444444444,3619.0,6,5,0,0,0.33333,0.33333
46,37.0,67,Borussia Dortmund,64.0,SC Freiburg,2016-09-23 18:30:00,5,3.0,1,4-1-4-1,105,-12,2033.22222222,1050.55555556,72.1111111111,600.0,11,2,0,0,1.0,1.0
47,39.0,68,FC Augsburg,77.0,SV Darmstadt 98,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,5,-33,4302.22222222,437.0,29.3333333333,2144.88888889,3,4,0,0,0.33333,0.0
48,38.0,69,Eintracht Frankfurt,63.0,Hertha BSC,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,0,-5,62.7777777778,456.0,96.3333333333,1304.33333333,4,2,0,0,1.0,0.66666
49,43.0,70,Werder Bremen,75.0,VfL Wolfsburg,2016-09-24 16:30:00,5,3.0,1,4-2-3-1,8,39,-3291.88888889,-752.0,-120.0,-696.0,3,8,0,0,0.33333,0.0
50,40.0,71,Bayer Leverkusen,73.0,1 FSV Mainz 05,2016-09-24 13:30:00,5,3.0,0,4-4-2,-65,-27,4599.0,758.333333333,-36.1111111111,1310.22222222,4,3,0,0,0.66666,0.0
51,42.0,72,FC Ingolstadt,66.0,Monchengladbach,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,-35,24,-3466.66666667,161.666666667,44.4444444444,-3619.0,1,7,0,0,0.0,0.66666
52,40.0,73,1 FSV Mainz 05,71.0,Bayer Leverkusen,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,65,27,-4599.0,-758.333333333,36.1111111111,-1310.22222222,9,6,0,0,1.0,0.66666
53,45.0,74,RB Leipzig,78.0,1 FC Cologne,2016-09-25 15:30:00,5,3.0,0,4-4-2,0,0,1140.0,504.0,-12.0,1310.22222222,6,1,0,0,0.66666,0.66666
54,43.0,75,VfL Wolfsburg,70.0,Werder Bremen,2016-09-24 16:30:00,5,3.0,0,4-2-3-1,-8,-39,3291.88888889,752.0,120.0,696.0,1,5,0,0,0.66666,0.0
55,41.0,76,Bayern Munich,65.0,Hamburger SV,2016-09-24 13:30:00,5,3.0,0,4-3-3,63,-63,11076.3333333,2080.0,85.3333333333,7117.0,8,1,0,0,1.0,0.33333
56,39.0,77,SV Darmstadt 98,68.0,FC Augsburg,2016-09-24 13:30:00,5,3.0,0,5-4-1,-5,33,-4302.22222222,-437.0,-29.3333333333,-2144.88888889,2,7,0,0,0.0,0.33333
57,45.0,78,1 FC Cologne,74.0,RB Leipzig,2016-09-25 15:30:00,5,3.0,1,4-4-2,0,0,-1140.0,-504.0,12.0,-1310.22222222,6,1,0,0,0.66666,1.0
58,47.0,81,Granada CF,84.0,Athletic Bilbao,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,7,77,-1893.88888889,-360.0,28.3333333333,-312.0,4,9,0,0,0.66666,0.66666
59,48.0,82,Espanyol Barcelona,94.0,CA Osasuna,2016-09-22 18:00:00,5,3.0,0,4-4-2,5,-24,-1183.11111111,-437.333333333,-3.66666666667,0.0,3,5,0,0,0.0,0.0
60,50.0,83,CD Alaves,95.0,Valencia CF,2016-09-22 20:00:00,5,3.0,0,5-4-1,-5,-35,-551.111111111,-617.777777778,-120.333333333,828.333333333,2,1,0,0,0.0,0.33333
61,47.0,84,Athletic Bilbao,81.0,Granada CF,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,-7,-77,1893.88888889,360.0,-28.3333333333,312.0,3,2,0,0,0.33333,0.0
62,42.0,85,Sevilla FC,91.0,Real Betis Balompie,2016-09-20 20:00:00,5,3.0,1,4-2-3-1,-16,-12,-3401.0,-1448.88888889,-115.222222222,-1424.0,3,2,0,0,0.33333,0.0
63,49.0,86,Deportivo La Coruna,97.0,CD Leganes,2016-09-22 18:00:00,5,3.0,1,4-4-2,-4,-48,1683.0,1840.0,55.0,1891.0,0,1,0,0,0.66666,0.33333
64,41.0,87,Malaga CF,99.0,SD Eibar,2016-09-20 18:00:00,5,3.0,1,4-2-3-1,-12,21,1940.55555556,1362.11111111,11.1111111111,308.0,2,5,0,0,0.33333,0.66666
65,44.0,88,Celta de Vigo,98.0,Sporting Gijon,2016-09-21 18:00:00,5,3.0,1,4-2-3-1,-3,0,2852.33333333,1031.11111111,13.6666666667,1820.55555556,1,6,0,0,0.0,0.0
66,45.0,89,Real Sociedad,96.0,Las Palmas UD,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,-33,0,6817.77777778,2149.33333333,-37.3333333333,807.444444444,4,3,0,0,0.33333,0.66666
67,43.0,90,Real Madrid,93.0,Villarreal CF,2016-09-21 18:00:00,5,3.0,1,4-1-4-1,65,8,-1201.66666667,933.333333333,213.777777778,-1444.44444444,9,3,0,0,1.0,1.0
68,42.0,91,Real Betis Balompie,85.0,Sevilla FC,2016-09-20 20:00:00,5,3.0,0,4-3-3,16,12,3401.0,1448.88888889,115.222222222,1424.0,5,4,0,0,1.0,1.0
69,46.0,92,FC Barcelona,100.0,Atletico Madrid,2016-09-21 20:00:00,5,3.0,1,3-4-3,-32,9,1579.11111111,800.333333333,-24.3333333333,1505.77777778,7,3,0,0,1.0,1.0
70,43.0,93,Villarreal CF,90.0,Real Madrid,2016-09-21 18:00:00,5,3.0,0,4-4-2,-65,-8,1201.66666667,-933.333333333,-213.777777778,1444.44444444,4,1,0,0,0.66666,1.0
71,48.0,94,CA Osasuna,82.0,Espanyol Barcelona,2016-09-22 18:00:00,5,3.0,1,5-3-2,-5,24,1183.11111111,437.333333333,3.66666666667,0.0,2,7,0,0,0.0,0.33333
72,50.0,95,Valencia CF,83.0,CD Alaves,2016-09-22 20:00:00,5,3.0,1,4-3-3,5,35,551.111111111,617.777777778,120.333333333,-828.333333333,3,6,0,0,1.0,0.33333
73,45.0,96,Las Palmas UD,89.0,Real Sociedad,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,33,0,-6817.77777778,-2149.33333333,37.3333333333,-807.444444444,7,3,0,0,0.66666,1.0
74,49.0,97,CD Leganes,86.0,Deportivo La Coruna,2016-09-22 18:00:00,5,3.0,0,5-3-2,4,48,-1683.0,-1840.0,-55.0,-1891.0,2,7,0,0,0.33333,0.66666
75,44.0,98,Sporting Gijon,88.0,Celta de Vigo,2016-09-21 18:00:00,5,3.0,0,4-2-3-1,3,0,-2852.33333333,-1031.11111111,-13.6666666667,-1820.55555556,2,6,0,0,0.0,0.0
76,41.0,99,SD Eibar,87.0,Malaga CF,2016-09-20 18:00:00,5,3.0,0,4-2-3-1,12,-21,-1940.55555556,-1362.11111111,-11.1111111111,-308.0,4,2,0,0,0.66666,0.66666
77,46.0,100,Atletico Madrid,92.0,FC Barcelona,2016-09-21 20:00:00,5,3.0,0,4-4-2,32,-9,-1579.11111111,-800.333333333,24.3333333333,-1505.77777778,9,0,0,0,1.0,0.66666
78,70.0,101,Olympique Marseille,120.0,FC Nantes,2016-09-25 18:45:00,7,3.0,1,4-2-3-1,15,20,-3956.88888889,-2652.0,-26.6666666667,-1240.0,4,6,0,0,0.66666,0.66666
79,63.0,102,FC Metz,107.0,Montpellier HSC,2016-09-24 18:00:00,7,3.0,0,4-5-1,0,-40,-1413.22222222,-1477.77777778,0.0,-730.666666667,3,3,0,0,0.33333,0.0
80,68.0,103,Lille OSC,108.0,AS Saint Etienne,2016-09-25 13:00:00,7,3.0,0,4-3-3,0,48,4536.11111111,1571.55555556,17.7777777778,-970.666666667,2,7,0,0,0.33333,0.66666
81,69.0,104,OGC Nice,116.0,AS Nancy,2016-09-25 15:00:00,7,3.0,0,3-5-2,55,8,-2528.33333333,193.777777778,25.3333333333,-859.444444444,8,3,0,0,1.0,1.0
82,66.0,105,SM Caen,115.0,FC Girondins Bordeaux,2016-09-24 18:00:00,7,3.0,0,4-1-4-1,-35,96,858.666666667,-1343.88888889,-46.2222222222,161.0,1,10,0,0,0.0,0.66666
83,65.0,106,SCO Angers,117.0,AS Monaco,2016-09-24 18:00:00,7,3.0,0,4-3-3,-13,-21,-4094.33333333,-796.444444444,-39.6666666667,-1992.88888889,6,2,0,0,0.66666,0.66666
84,63.0,107,Montpellier HSC,102.0,FC Metz,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,0,40,1413.22222222,1477.77777778,0.0,730.666666667,3,7,0,0,0.33333,0.0
85,68.0,108,AS Saint Etienne,103.0,Lille OSC,2016-09-25 13:00:00,7,3.0,1,4-3-3,0,-48,-4536.11111111,-1571.55555556,-17.7777777778,970.666666667,2,1,0,0,0.0,0.33333
86,62.0,109,FC Lorient,110.0,Olympique Lyon,2016-09-24 15:00:00,7,3.0,1,4-3-3,-35,-7,4971.55555556,976.888888889,-81.6666666667,3107.55555556,1,3,0,0,0.0,0.33333
87,62.0,110,Olympique Lyon,109.0,FC Lorient,2016-09-24 15:00:00,7,3.0,0,3-5-2,35,7,-4971.55555556,-976.888888889,81.6666666667,-3107.55555556,6,4,0,0,1.0,1.0
