,games_played,is_home,avg_points,goals_for,goals_against,avg_goals,margin,goal_diff,win_percentage,sos,opp_is_home,opp_avg_points,opp_avg_goals,opp_margin,opp_goal_diff,opp_win_percentage,opp_opp_record,current_team_home_possession,current_team_away_possession,current_team_home_attacks,current_team_away_attacks,current_team_home_dangerous_attacks,current_team_away_dangerous_attacks,current_team_home_yellow_card,current_team_away_yellow_card,current_team_home_corner_kicks,current_team_away_corner_kicks,current_team_home_shots_on_target,current_team_away_shots_on_target,current_team_home_shots_total,current_team_away_shots_total,current_team_home_ball_safe,current_team_away_ball_safe,current_team_home_played,current_team_away_played,current_team_home_possession,current_team_away_possession,current_team_home_attacks,current_opp_away_attacks,current_opp_home_dangerous_attacks,current_opp_away_dangerous_attacks,current_opp_home_yellow_card,current_opp_away_yellow_card,current_opp_home_corner_kicks,current_opp_away_corner_kicks,current_opp_home_shots_on_target,current_opp_away_shots_on_target,current_opp_home_shots_total,current_opp_away_shots_total,current_opp_home_ball_safe,current_opp_away_ball_safe,current_opp_home_played,current_opp_away_played,e_f_dangerous_attacks,e_f_shots_total,e_f_shots_on_target,e_f_ball_safe,e_f_possession,e_f_attacks,opp_e_f_dangerous_attacks,opp_e_f_shots_total,opp_e_f_shots_on_target,opp_e_f_ball_safe,opp_e_f_possession,opp_e_f_attacks,prev_opp_e_f_dangerous_attacks,prev_opp_e_f_shots_total,prev_opp_e_f_shots_on_target,prev_opp_e_f_ball_safe,prev_opp_e_f_possession,prev_opp_e_f_attacks,opp_opp_e_f_dangerous_attacks,opp_opp_e_f_shots_total,opp_opp_e_f_shots_on_target,opp_opp_e_f_ball_safe,opp_opp_e_f_possession,opp_opp_e_f_attacks
10,22,1,1,1,3,1,0,0,0.519047619048,1.1052193513,0,1,1,0,2,0.470873786408,0.481481481481,52.2222222222,47.7272727273,110.0,98.4545454545,52.7777777778,40.2727272727,1.4,1.90909090909,6.0,3.45454545455,5.77777777778,5.0,10.7777777778,8.45454545455,103.0,95.9090909091,10.0,12.0,52.2222222222,47.7272727273,110.0,89.5714285714,55.4166666667,40.0,1.91666666667,1.88888888889,4.33333333333,4.85714285714,4.91666666667,3.57142857143,11.1666666667,7.57142857143,98.25,90.8571428571,12.0,9.0,45.9,9.5,5.35,99.1,49.75,103.65,49.7368421053,9.84210526316,4.42105263158,95.5263157895,49.0526315789,101.684210526,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905,47.6363636364,8.90909090909,4.95454545455,95.0454545455,45.4090909091,99.2272727273
11,22,0,1,1,3,1,0,0,0.519047619048,1.24202476493,1,1,1,0,5,0.538834951456,0.367346938776,52.2222222222,47.7272727273,110.0,98.4545454545,52.7777777778,40.2727272727,1.4,1.90909090909,6.0,3.45454545455,5.77777777778,5.0,10.7777777778,8.45454545455,103.0,95.9090909091,10.0,12.0,52.2222222222,47.7272727273,110.0,105.416666667,53.7142857143,52.5833333333,0.888888888889,1.38461538462,5.42857142857,4.58333333333,5.14285714286,4.41666666667,10.4285714286,8.58333333333,88.5714285714,101.833333333,9.0,13.0,45.9,9.5,5.35,99.1,49.75,103.65,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905,46.2,9.95,4.8,89.6,48.8,91.95
12,24,1,1,0,2,1,0,1,0.481481481481,1.05478486901,0,1,1,0,0,0.439393939394,0.572727272727,46.0909090909,44.7272727273,98.1818181818,100.272727273,47.4545454545,47.8181818182,1.33333333333,1.91666666667,5.81818181818,4.18181818182,6.27272727273,3.63636363636,10.3636363636,7.45454545455,93.6363636364,96.4545454545,12.0,12.0,46.0909090909,44.7272727273,98.1818181818,95.4444444444,54.5,50.4444444444,0.909090909091,1.77777777778,5.7,5.66666666667,5.2,4.55555555556,10.6,8.66666666667,88.0,96.1111111111,11.0,10.0,47.6363636364,8.90909090909,4.95454545455,95.0454545455,45.4090909091,99.2272727273,52.5789473684,9.68421052632,4.89473684211,91.8421052632,51.8947368421,96.3157894737,49.7368421053,9.84210526316,4.42105263158,95.5263157895,49.0526315789,101.684210526,40.4090909091,8.40909090909,4.13636363636,80.9090909091,48.6363636364,84.6666666667
13,24,1,1,3,1,1,0,7,0.490740740741,0.899742702511,0,0,1,-1,-18,0.365384615385,0.519417475728,54.1111111111,48.6666666667,123.777777778,110.0,71.6666666667,53.25,1.18181818182,2.38461538462,6.33333333333,5.33333333333,6.55555555556,4.25,12.5555555556,7.25,101.666666667,95.8333333333,11.0,13.0,54.1111111111,48.6666666667,123.777777778,100.416666667,62.5,51.5833333333,1.3,1.5,6.25,3.83333333333,5.25,4.75,11.0,9.16666666667,90.0,87.9166666667,10.0,12.0,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905,55.95,9.9,4.95,88.75,49.1,105.35,45.9,9.5,5.35,99.1,49.75,103.65,49.5263157895,9.52631578947,4.89473684211,93.2631578947,49.2631578947,100.894736842
14,22,1,1,2,1,1,0,0,0.519801980198,0.899742702511,0,0,1,-1,-18,0.365384615385,0.519417475728,50.3,47.0,101.0,88.6,48.8,44.2,1.2,1.81818181818,4.7,3.7,4.3,3.8,8.0,8.4,98.6,89.2,11.0,11.0,50.3,47.0,101.0,100.416666667,62.5,51.5833333333,1.3,1.5,6.25,3.83333333333,5.25,4.75,11.0,9.16666666667,90.0,87.9166666667,10.0,12.0,46.5,8.2,4.05,93.9,48.65,94.8,55.95,9.9,4.95,88.75,49.1,105.35,45.8636363636,9.5,5.18181818182,88.4545454545,48.8636363636,91.5454545455,49.5263157895,9.52631578947,4.89473684211,93.2631578947,49.2631578947,100.894736842
15,22,0,1,2,1,1,0,0,0.519801980198,0.9780999911,1,0,1,-1,-7,0.402173913043,0.590163934426,50.3,47.0,101.0,88.6,48.8,44.2,1.2,1.81818181818,4.7,3.7,4.3,3.8,8.0,8.4,98.6,89.2,11.0,11.0,50.3,47.0,101.0,91.875,53.6,51.125,1.0,1.0,7.2,4.5,4.4,4.5,9.5,8.625,93.7,85.625,11.0,9.0,46.5,8.2,4.05,93.9,48.65,94.8,52.5,9.11111111111,4.44444444444,90.1111111111,53.1666666667,94.9444444444,45.8636363636,9.5,5.18181818182,88.4545454545,48.8636363636,91.5454545455,47.380952381,10.619047619,5.61904761905,98.2380952381,53.2857142857,97.0952380952
16,21,0,1,2,0,1,0,2,0.470873786408,1.2030182256,1,1,1,0,0,0.519047619048,0.490740740741,50.3333333333,46.8571428571,108.75,89.5714285714,55.4166666667,40.0,1.91666666667,1.88888888889,4.33333333333,4.85714285714,4.91666666667,3.57142857143,11.1666666667,7.57142857143,98.25,90.8571428571,12.0,9.0,50.3333333333,46.8571428571,108.75,98.4545454545,52.7777777778,40.2727272727,1.4,1.90909090909,6.0,3.45454545455,5.77777777778,5.0,10.7777777778,8.45454545455,103.0,95.9090909091,10.0,12.0,49.7368421053,9.84210526316,4.42105263158,95.5263157895,49.0526315789,101.684210526,45.9,9.5,5.35,99.1,49.75,103.65,47.6363636364,8.90909090909,4.95454545455,95.0454545455,45.4090909091,99.2272727273,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905
17,21,1,1,2,0,1,0,2,0.470873786408,0.90527561869,0,0,1,-1,-8,0.368131868132,0.480582524272,50.3333333333,46.8571428571,108.75,89.5714285714,55.4166666667,40.0,1.91666666667,1.88888888889,4.33333333333,4.85714285714,4.91666666667,3.57142857143,11.1666666667,7.57142857143,98.25,90.8571428571,12.0,9.0,50.3333333333,46.8571428571,108.75,83.0,44.0,42.0,1.3,1.0,5.44444444444,3.875,4.11111111111,2.75,7.55555555556,6.625,94.2222222222,89.75,11.0,9.0,49.7368421053,9.84210526316,4.42105263158,95.5263157895,49.0526315789,101.684210526,43.0588235294,7.11764705882,3.47058823529,92.1176470588,45.5882352941,89.0588235294,47.6363636364,8.90909090909,4.95454545455,95.0454545455,45.4090909091,99.2272727273,47.8947368421,9.42105263158,4.26315789474,97.0,49.4210526316,99.0555555556
18,22,0,1,1,1,1,0,5,0.538834951456,1.1218257092,1,1,1,-1,-3,0.480582524272,0.368131868132,53.5714285714,48.4166666667,95.0,105.416666667,53.7142857143,52.5833333333,0.888888888889,1.38461538462,5.42857142857,4.58333333333,5.14285714286,4.41666666667,10.4285714286,8.58333333333,88.5714285714,101.833333333,9.0,13.0,53.5714285714,48.4166666667,95.0,91.2222222222,55.1,39.8888888889,1.81818181818,1.6,6.5,4.55555555556,5.2,3.22222222222,10.4,8.33333333333,95.6,98.5555555556,12.0,10.0,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,47.8947368421,9.42105263158,4.26315789474,97.0,49.4210526316,99.0555555556,46.2,9.95,4.8,89.6,48.8,91.95,43.0588235294,7.11764705882,3.47058823529,92.1176470588,45.5882352941,89.0588235294
19,22,1,1,1,1,1,0,5,0.538834951456,1.2030182256,0,1,1,0,0,0.519047619048,0.490740740741,53.5714285714,48.4166666667,95.0,105.416666667,53.7142857143,52.5833333333,0.888888888889,1.38461538462,5.42857142857,4.58333333333,5.14285714286,4.41666666667,10.4285714286,8.58333333333,88.5714285714,101.833333333,9.0,13.0,53.5714285714,48.4166666667,95.0,98.4545454545,52.7777777778,40.2727272727,1.4,1.90909090909,6.0,3.45454545455,5.77777777778,5.0,10.7777777778,8.45454545455,103.0,95.9090909091,10.0,12.0,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,45.9,9.5,5.35,99.1,49.75,103.65,46.2,9.95,4.8,89.6,48.8,91.95,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905
20,22,1,1,2,2,1,-1,-3,0.480582524272,1.24202476493,0,1,1,0,5,0.538834951456,0.367346938776,52.0,46.5555555556,106.888888889,91.2222222222,55.1,39.8888888889,1.81818181818,1.6,6.5,4.55555555556,5.2,3.22222222222,10.4,8.33333333333,95.6,98.5555555556,12.0,10.0,52.0,46.5555555556,106.888888889,105.416666667,53.7142857143,52.5833333333,0.888888888889,1.38461538462,5.42857142857,4.58333333333,5.14285714286,4.41666666667,10.4285714286,8.58333333333,88.5714285714,101.833333333,9.0,13.0,47.8947368421,9.42105263158,4.26315789474,97.0,49.4210526316,99.0555555556,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,43.0588235294,7.11764705882,3.47058823529,92.1176470588,45.5882352941,89.0588235294,46.2,9.95,4.8,89.6,48.8,91.95
21,22,1,1,2,2,1,-1,-3,0.480582524272,1.33956912712,0,1,1,0,3,0.590163934426,0.402173913043,52.0,46.5555555556,106.888888889,91.2222222222,55.1,39.8888888889,1.81818181818,1.6,6.5,4.55555555556,5.2,3.22222222222,10.4,8.33333333333,95.6,98.5555555556,12.0,10.0,52.0,46.5555555556,106.888888889,88.6363636364,54.6,40.8181818182,1.91666666667,1.72727272727,5.3,3.45454545455,6.7,4.63636363636,12.9,8.54545454545,103.3,93.6363636364,12.0,12.0,47.8947368421,9.42105263158,4.26315789474,97.0,49.4210526316,99.0555555556,47.380952381,10.619047619,5.61904761905,98.2380952381,53.2857142857,97.0952380952,43.0588235294,7.11764705882,3.47058823529,92.1176470588,45.5882352941,89.0588235294,52.5,9.11111111111,4.44444444444,90.1111111111,53.1666666667,94.9444444444
22,22,0,0,0,4,1,-1,-18,0.365384615385,1.2132271488,1,1,1,0,0,0.519801980198,0.446902654867,52.25,47.0,112.75,100.416666667,62.5,51.5833333333,1.3,1.5,6.25,3.83333333333,5.25,4.75,11.0,9.16666666667,90.0,87.9166666667,10.0,12.0,52.25,47.0,112.75,88.6,48.8,44.2,1.2,1.81818181818,4.7,3.7,4.3,3.8,8.0,8.4,98.6,89.2,11.0,11.0,55.95,9.9,4.95,88.75,49.1,105.35,46.5,8.2,4.05,93.9,48.65,94.8,49.5263157895,9.52631578947,4.89473684211,93.2631578947,49.2631578947,100.894736842,45.8636363636,9.5,5.18181818182,88.4545454545,48.8636363636,91.5454545455
23,22,0,0,0,4,1,-1,-18,0.365384615385,1.14921823911,1,1,1,0,7,0.490740740741,0.519047619048,52.25,47.0,112.75,100.416666667,62.5,51.5833333333,1.3,1.5,6.25,3.83333333333,5.25,4.75,11.0,9.16666666667,90.0,87.9166666667,10.0,12.0,52.25,47.0,112.75,110.0,71.6666666667,53.25,1.18181818182,2.38461538462,6.33333333333,5.33333333333,6.55555555556,4.25,12.5555555556,7.25,101.666666667,95.8333333333,11.0,13.0,55.95,9.9,4.95,88.75,49.1,105.35,61.1428571429,9.52380952381,5.2380952381,98.3333333333,51.0,115.904761905,49.5263157895,9.52631578947,4.89473684211,93.2631578947,49.2631578947,100.894736842,45.9,9.5,5.35,99.1,49.75,103.65
24,21,0,1,2,1,1,0,0,0.439393939394,0.903538244566,1,0,1,-1,-4,0.367346938776,0.538834951456,53.1,50.5555555556,97.1,95.4444444444,54.5,50.4444444444,0.909090909091,1.77777777778,5.7,5.66666666667,5.2,4.55555555556,10.6,8.66666666667,88.0,96.1111111111,11.0,10.0,53.1,50.5555555556,97.1,94.1,47.9,44.5,1.2,0.818181818182,5.3,5.0,5.1,4.5,10.5,9.4,84.3,94.9,10.0,12.0,52.5789473684,9.68421052632,4.89473684211,91.8421052632,51.8947368421,96.3157894737,46.2,9.95,4.8,89.6,48.8,91.95,40.4090909091,8.40909090909,4.13636363636,80.9090909091,48.6363636364,84.6666666667,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368
25,21,0,1,2,1,1,0,0,0.439393939394,1.13200492654,1,1,1,0,1,0.481481481481,0.470873786408,53.1,50.5555555556,97.1,95.4444444444,54.5,50.4444444444,0.909090909091,1.77777777778,5.7,5.66666666667,5.2,4.55555555556,10.6,8.66666666667,88.0,96.1111111111,11.0,10.0,53.1,50.5555555556,97.1,100.272727273,47.4545454545,47.8181818182,1.33333333333,1.91666666667,5.81818181818,4.18181818182,6.27272727273,3.63636363636,10.3636363636,7.45454545455,93.6363636364,96.4545454545,12.0,12.0,52.5789473684,9.68421052632,4.89473684211,91.8421052632,51.8947368421,96.3157894737,47.6363636364,8.90909090909,4.95454545455,95.0454545455,45.4090909091,99.2272727273,40.4090909091,8.40909090909,4.13636363636,80.9090909091,48.6363636364,84.6666666667,49.7368421053,9.84210526316,4.42105263158,95.5263157895,49.0526315789,101.684210526
26,22,1,0,1,1,1,-1,-4,0.367346938776,1.05478486901,0,1,1,0,0,0.439393939394,0.572727272727,50.2,47.4,89.8,94.1,47.9,44.5,1.2,0.818181818182,5.3,5.0,5.1,4.5,10.5,9.4,84.3,94.9,10.0,12.0,50.2,47.4,89.8,95.4444444444,54.5,50.4444444444,0.909090909091,1.77777777778,5.7,5.66666666667,5.2,4.55555555556,10.6,8.66666666667,88.0,96.1111111111,11.0,10.0,46.2,9.95,4.8,89.6,48.8,91.95,52.5789473684,9.68421052632,4.89473684211,91.8421052632,51.8947368421,96.3157894737,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,40.4090909091,8.40909090909,4.13636363636,80.9090909091,48.6363636364,84.6666666667
27,22,1,0,1,1,1,-1,-4,0.367346938776,1.48486652447,0,1,1,0,6,0.665137614679,0.448717948718,50.2,47.4,89.8,94.1,47.9,44.5,1.2,0.818181818182,5.3,5.0,5.1,4.5,10.5,9.4,84.3,94.9,10.0,12.0,50.2,47.4,89.8,90.8888888889,53.7692307692,46.3333333333,2.0,1.54545454545,5.38461538462,4.44444444444,6.38461538462,3.66666666667,12.3846153846,7.66666666667,87.0769230769,88.7777777778,13.0,11.0,46.2,9.95,4.8,89.6,48.8,91.95,50.7272727273,10.4545454545,5.27272727273,87.7727272727,52.0454545455,95.2272727273,53.0,9.26315789474,4.68421052632,96.9473684211,50.3157894737,101.578947368,55.7391304348,9.91304347826,4.5652173913,97.8695652174,52.9130434783,114.956521739
28,20,1,0,3,3,1,-1,-7,0.402173913043,1.20153686041,0,1,1,0,6,0.519417475728,0.365384615385,55.0,50.875,97.4,91.875,53.6,51.125,1.0,1.0,7.2,4.5,4.4,4.5,9.5,8.625,93.7,85.625,11.0,9.0,55.0,50.875,97.4,97.2222222222,47.5,51.7777777778,1.36363636364,1.36363636364,6.3,4.77777777778,5.6,4.11111111111,10.5,8.44444444444,91.9,94.7777777778,11.0,11.0,52.5,9.11111111111,4.44444444444,90.1111111111,53.1666666667,94.9444444444,49.5263157895,9.52631578947,4.89473684211,93.2631578947,49.2631578947,100.894736842,47.380952381,10.619047619,5.61904761905,98.2380952381,53.2857142857,97.0952380952,55.95,9.9,4.95,88.75,49.1,105.35
29,20,1,0,3,3,1,-1,-7,0.402173913043,1.2132271488,0,1,1,0,0,0.519801980198,0.446902654867,55.0,50.875,97.4,91.875,53.6,51.125,1.0,1.0,7.2,4.5,4.4,4.5,9.5,8.625,93.7,85.625,11.0,9.0,55.0,50.875,97.4,88.6,48.8,44.2,1.2,1.81818181818,4.7,3.7,4.3,3.8,8.0,8.4,98.6,89.2,11.0,11.0,52.5,9.11111111111,4.44444444444,90.1111111111,53.1666666667,94.9444444444,46.5,8.2,4.05,93.9,48.65,94.8,47.380952381,10.619047619,5.61904761905,98.2380952381,53.2857142857,97.0952380952,45.8636363636,9.5,5.18181818182,88.4545454545,48.8636363636,91.5454545455
30,20,1,0,2,2,1,-1,-8,0.368131868132,1.35223367698,0,1,1,0,13,0.592783505155,0.68,45.1111111111,46.125,94.4444444444,83.0,44.0,42.0,1.3,1.0,5.44444444444,3.875,4.11111111111,2.75,7.55555555556,6.625,94.2222222222,89.75,11.0,9.0,45.1111111111,46.125,94.4444444444,100.75,47.9090909091,46.75,1.33333333333,2.0,4.72727272727,2.875,5.45454545455,2.75,9.09090909091,6.625,93.1818181818,97.875,12.0,9.0,43.0588235294,7.11764705882,3.47058823529,92.1176470588,45.5882352941,89.0588235294,47.4210526316,8.05263157895,4.31578947368,95.1578947368,51.6315789474,102.736842105,47.8947368421,9.42105263158,4.26315789474,97.0,49.4210526316,99.0555555556,45.55,9.05,5.0,87.95,50.8,92.95
