,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,rpi,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
26,59.0,47,West Ham United,41.0,Southampton FC,2016-09-25 15:00:00,6,3.0,1,4-3-3,16,112,-5571.0,2415.0,-360.0,-6792.0,0.303571428571,5,11,0,0,0.33333,1.0,0.0,0.0
27,58.0,48,Chelsea FC,43.0,Arsenal FC,2016-09-24 16:30:00,6,3.0,0,4-2-3-1,-45,7,-4848.0,0.0,0.0,-16620.0,0.685714285714,6,4,0,0,0.66666,0.66666,1.0,0.33333
28,56.0,49,Stoke City,46.0,West Bromwich Albion,2016-09-24 14:00:00,6,3.0,1,4-2-3-1,-15,72,32736.0,-5911.0,0.0,-7336.0,0.470238095238,1,9,0,0,0.33333,0.66666,0.33333,0.0
29,54.0,50,Hull City,56.0,Liverpool FC,2016-09-24 14:00:00,6,3.0,0,4-3-3,-45,27,-24992.0,-15444.0,-235.0,5427.0,0.640025575448,2,6,0,0,0.0,0.66666,1.0,0.66666
30,57.0,51,Middlesbrough FC,54.0,Tottenham Hotspur,2016-09-24 14:00:00,6,3.0,1,4-2-3-1,-32,24,3828.0,-6028.0,-1612.0,19437.0,0.570075757576,2,5,0,0,0.0,1.0,1.0,0.33333
31,51.0,52,Leicester City,58.0,Manchester United,2016-09-24 11:30:00,6,3.0,0,4-4-2,27,0,0.0,-8211.0,-720.0,7784.0,0.359411421911,6,5,0,0,0.33333,0.33333,0.0,0.66666
32,60.0,53,Burnley FC,57.0,Watford FC,2016-09-26 19:00:00,6,3.0,1,4-3-3,-63,13,22428.0,-5727.0,-768.0,14993.0,0.488117573483,1,7,0,0,0.0,0.33333,0.66666,0.33333
33,57.0,54,Tottenham Hotspur,51.0,Middlesbrough FC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,32,-24,-3828.0,6028.0,1612.0,-19437.0,0.488095238095,6,1,0,0,1.0,0.66666,0.33333,1.0
34,55.0,55,Bournemouth AFC,44.0,Everton FC,2016-09-24 14:00:00,6,3.0,1,4-3-3,-45,24,-67035.0,0.0,-885.0,-47061.0,0.697674418605,2,5,0,0,0.33333,1.0,1.0,0.66666
35,54.0,56,Liverpool FC,50.0,Hull City,2016-09-24 14:00:00,6,3.0,1,4-3-3,45,-27,24992.0,15444.0,235.0,-5427.0,0.531707317073,7,3,0,0,0.66666,0.0,0.66666,1.0
36,60.0,57,Watford FC,53.0,Burnley FC,2016-09-26 19:00:00,6,3.0,0,5-3-2,63,-13,-22428.0,5727.0,768.0,-14993.0,0.484707446809,8,6,0,0,1.0,0.33333,0.33333,0.66666
37,51.0,58,Manchester United,52.0,Leicester City,2016-09-24 11:30:00,6,3.0,1,4-2-3-1,-27,0,0.0,8211.0,720.0,-7784.0,0.525815217391,3,5,0,0,0.66666,0.33333,0.66666,0.0
38,53.0,59,Crystal Palace,60.0,Sunderland AFC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,48,-16,17649.0,9553.0,765.0,16027.0,0.429924242424,7,3,0,0,0.66666,0.0,0.33333,0.66666
39,53.0,60,Sunderland AFC,59.0,Crystal Palace,2016-09-24 14:00:00,6,3.0,1,4-3-3,-48,16,-17649.0,-9553.0,-765.0,-16027.0,0.543560606061,1,5,0,0,0.0,0.66666,0.66666,0.33333
40,44.0,61,1899 Hoffenheim,62.0,FC Schalke 04,2016-09-25 13:30:00,5,3.0,1,4-3-3,24,-24,-32895.0,5871.0,672.0,-26752.0,0.451704545455,5,5,0,0,1.0,0.33333,0.33333,0.0
41,44.0,62,FC Schalke 04,61.0,1899 Hoffenheim,2016-09-25 13:30:00,5,3.0,0,4-2-3-1,-24,24,32895.0,-5871.0,-672.0,26752.0,0.433229813665,1,7,0,0,0.0,0.0,0.0,0.33333
42,38.0,63,Hertha BSC,69.0,Eintracht Frankfurt,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,0,5,-565.0,-4104.0,-867.0,-11739.0,0.390780730897,4,3,0,0,0.0,1.0,0.0,0.66666
43,37.0,64,SC Freiburg,67.0,Borussia Dortmund,2016-09-23 18:30:00,5,3.0,0,4-1-3-2,-105,12,-18299.0,-9455.0,-649.0,-5400.0,0.657196969697,4,4,0,0,0.33333,1.0,1.0,1.0
