,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_for,goals_allowed,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_goals_allowed,ratio_of_attacks,0,1,2,SVC,actual
31,54,56,Liverpool FC,50,Hull City,1,7,3,0.269230769,0.66666,0.853658537,0,1.051369863,0.586319218,1.03030303,6,0.490196078,0.006032703,-0.367181973,-0.318455059,3,3
32,57,51,Middlesbrough FC,54,Tottenham Hotspur,1,2,5,0.111111111,0,0.956521739,1,0.905349794,0.436363636,1.035369775,1,0.391304348,0.617777406,-0.379757922,-0.937219509,3,0
33,57,54,Tottenham Hotspur,51,Middlesbrough FC,0,6,1,0.136363636,1,0.791666667,0.66666,1.027692308,0.413173653,1.136690647,5,0.46835443,0.213503829,0.058373345,-0.097460639,0,3
34,51,52,Leicester City,58,Manchester United,0,6,5,0.25,0.33333,0.827586207,0.33333,1.008196721,0.552845528,1.129824561,5,0.51863354,0.376787474,0.87105496,1.073920823,0,0
35,51,58,Manchester United,52,Leicester City,1,3,5,0.083333333,0.66666,0.807692308,0.33333,1.054945055,0.392361111,1.188191882,5,0.590062112,-0.930876225,-0.995896054,-0.694227663,3,3
36,60,53,Burnley FC,57,Watford FC,1,1,7,0.0625,0,0.8,0.33333,1.188191882,0.590062112,1.054945055,6,0.392361111,-0.517922896,-0.677877743,-0.374225663,3,3
37,60,57,Watford FC,53,Burnley FC,0,8,6,0.25,1,0.78125,0.33333,1.129824561,0.51863354,1.008196721,7,0.552845528,0.842904588,0.741440973,0.656696714,0,0
38,53,59,Crystal Palace,60,Sunderland AFC,0,7,3,0.225806452,0.66666,0.9,0,1.136690647,0.46835443,0.937956204,5,0.53307393,0.286054738,0.877737586,0.869994609,0,3
39,53,60,Sunderland AFC,59,Crystal Palace,1,1,5,0.071428571,0,0.884615385,0.66666,1.156862745,0.396610169,0.905349794,3,0.436363636,-0.247004038,-0.612466954,-0.816624309,3,0
40,44,61,1899 Hoffenheim,62,FC Schalke 04,1,5,5,0.161290323,1,0.730769231,0.33333,1.048327138,0.372340426,1.053191489,7,0.552188552,-0.569017688,-0.765164013,-0.147030424,3,3
41,44,62,FC Schalke 04,61,1899 Hoffenheim,0,1,7,0.058823529,0,0.861111111,0,1.146067416,0.5,1.067484663,5,0.416666667,0.108604115,0.387856883,0.187829386,0,0
42,38,63,Hertha BSC,69,Eintracht Frankfurt,0,4,3,0.235294118,0,0.9,1,1.146953405,0.540625,1.048327138,2,0.372340426,1.15076893,0.921605155,0.320360634,0,1
43,38,69,Eintracht Frankfurt,63,Hertha BSC,1,4,2,0.117647059,1,0.884615385,0.66666,1.067484663,0.416666667,0.975862069,3,0.434628975,-0.185860958,-0.806533308,-0.758198391,3,1
44,37,64,SC Freiburg,67,Borussia Dortmund,0,4,4,0.166666667,0.33333,0.909090909,1,0.859574468,0.465346535,1.135849057,2,0.455149502,1.179903873,0.867259617,0.064619484,0,0
45,37,67,Borussia Dortmund,64,SC Freiburg,1,11,2,0.314285714,1,0.764705882,1,1.073929961,0.423913043,1.2,4,0.509090909,-0.064245717,-0.427223277,-0.523815848,3,3
46,41,65,Hamburger SV,76,Bayern Munich,1,1,8,0.0625,0,0.947368421,1,1.264317181,0.515679443,1.032846715,1,0.445229682,1.26702762,0.539885145,-0.794309585,0,0
