,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
23,6,9/24/16 14:00,55,44,Everton FC,55,Bournemouth AFC,0,1,7,0.189189189,1,0.871794872,0,5,1.135416667,0.532110092,0,0,1.027692308,0.413173653,0,1,-1.898159899,-0.723086316,0.675698822
34,6,9/24/16 14:00,55,55,Bournemouth AFC,44,Everton FC,1,5,2,0.090909091,0.33333,0.923076923,1,1,1.035369775,0.391304348,0,1,0.871900826,0.654028436,3,3,-0.307214896,-0.595992781,-0.880592354
25,6,9/24/16 14:00,56,46,West Bromwich Albion,49,Stoke City,0,3,4,0.16,0.33333,0.709677419,0,9,0.937956204,0.53307393,0,1,0.866171004,0.600858369,1,3,0.238867679,0.295539636,0.361506551
28,6,9/24/16 14:00,56,49,Stoke City,46,West Bromwich Albion,1,9,1,0.04,0.33333,0.888888889,0.66666,3,1.101083032,0.57704918,0,0,1.156862745,0.396610169,1,0,0.577819269,0.12190527,-0.027632276
29,6,9/24/16 14:00,54,50,Hull City,56,Liverpool FC,0,6,2,0.095238095,0,0.869565217,0.66666,3,1.141221374,0.602006689,0,1,0.85620915,0.320610687,0,0,1.496972374,2.369607733,0.736241151
35,6,9/24/16 14:00,54,56,Liverpool FC,50,Hull City,1,3,7,0.269230769,0.66666,0.853658537,0,6,1.051369863,0.586319218,0,0,1.03030303,0.490196078,3,3,-0.22278301,-1.184651232,-0.634082621
30,6,9/24/16 14:00,57,51,Middlesbrough FC,54,Tottenham Hotspur,1,5,2,0.111111111,0,0.956521739,1,1,0.905349794,0.436363636,0,0,1.035369775,0.391304348,0,3,-0.108095573,-0.176103838,-0.853894437
33,6,9/24/16 14:00,57,54,Tottenham Hotspur,51,Middlesbrough FC,0,1,6,0.136363636,1,0.791666667,0.66666,5,1.027692308,0.413173653,0,3,1.136690647,0.46835443,3,0,-0.404431349,-0.886260764,-0.237065316
31,6,9/24/16 11:30,51,52,Leicester City,58,Manchester United,0,5,6,0.25,0.33333,0.827586207,0.33333,5,1.008196721,0.552845528,0,1,1.129824561,0.51863354,0,0,-0.118993282,1.176144298,1.662872012
37,6,9/24/16 11:30,51,58,Manchester United,52,Leicester City,1,5,3,0.083333333,0.66666,0.807692308,0.33333,5,1.054945055,0.392361111,0,3,1.188191882,0.590062112,3,3,-1.454987107,-1.072632557,-0.716845883
32,6,9/26/16 19:00,60,53,Burnley FC,57,Watford FC,1,7,1,0.0625,0,0.8,0.33333,6,1.188191882,0.590062112,0,1,1.054945055,0.392361111,3,3,-1.675532472,-0.142537801,0.163821688
36,6,9/26/16 19:00,60,57,Watford FC,53,Burnley FC,0,6,8,0.25,1,0.78125,0.33333,7,1.129824561,0.51863354,0,1,1.008196721,0.552845528,0,0,1.649206339,1.622661475,1.163137849
38,6,9/24/16 14:00,53,59,Crystal Palace,60,Sunderland AFC,0,3,7,0.225806452,0.66666,0.9,0,5,1.136690647,0.46835443,0,0,0.937956204,0.53307393,3,0,-0.418386859,0.644035853,0.837469717
39,6,9/24/16 14:00,53,60,Sunderland AFC,59,Crystal Palace,1,5,1,0.071428571,0,0.884615385,0.66666,3,1.156862745,0.396610169,0,1,0.905349794,0.436363636,0,3,-0.649529022,-0.173783806,-0.777091777
40,5,9/25/16 13:30,44,61,1899 Hoffenheim,62,FC Schalke 04,1,5,5,0.161290323,1,0.730769231,0.33333,7,1.048327138,0.372340426,0,0,1.053191489,0.552188552,3,3,-0.067935186,-0.412323008,0.071899186
41,5,9/25/16 13:30,44,62,FC Schalke 04,61,1899 Hoffenheim,0,7,1,0.058823529,0,0.861111111,0,5,1.146067416,0.5,0,3,1.067484663,0.416666667,0,0,-0.925969128,0.769065179,1.168513584
42,5,9/24/16 13:30,38,63,Hertha BSC,69,Eintracht Frankfurt,0,3,4,0.235294118,0,0.9,1,2,1.146953405,0.540625,0,1,1.048327138,0.372340426,1,0,1.302327429,1.632293966,0.88216695
