,Unnamed: 0,games_played,is_home,avg_points,goals_for,goals_against,avg_goals,margin,goal_diff,win_percentage,sos,opp_is_home,opp_avg_points,opp_avg_goals,opp_margin,opp_goal_diff,opp_win_percentage,opp_opp_record,current_team_home_possession,current_team_away_possession,current_team_home_attacks,current_team_away_attacks,current_team_home_dangerous_attacks,current_team_away_dangerous_attacks,current_team_home_yellow_card,current_team_away_yellow_card,current_team_home_corner_kicks,current_team_away_corner_kicks,current_team_home_shots_on_target,current_team_away_shots_on_target,current_team_home_shots_total,current_team_away_shots_total,current_team_home_ball_safe,current_team_away_ball_safe,current_team_home_played,current_team_away_played,current_team_home_possession.1,current_team_away_possession.1,current_team_home_attacks.1,current_opp_away_attacks,current_opp_home_dangerous_attacks,current_opp_away_dangerous_attacks,current_opp_home_yellow_card,current_opp_away_yellow_card,current_opp_home_corner_kicks,current_opp_away_corner_kicks,current_opp_home_shots_on_target,current_opp_away_shots_on_target,current_opp_home_shots_total,current_opp_away_shots_total,current_opp_home_ball_safe,current_opp_away_ball_safe,current_opp_home_played,current_opp_away_played,e_f_dangerous_attacks,e_f_shots_total,e_f_shots_on_target,e_f_ball_safe,e_f_possession,e_f_attacks,opp_e_f_dangerous_attacks,opp_e_f_shots_total,opp_e_f_shots_on_target,opp_e_f_ball_safe,opp_e_f_possession,opp_e_f_attacks,prev_opp_e_f_dangerous_attacks,prev_opp_e_f_shots_total,prev_opp_e_f_shots_on_target,prev_opp_e_f_ball_safe,prev_opp_e_f_possession,prev_opp_e_f_attacks,opp_opp_e_f_dangerous_attacks,opp_opp_e_f_shots_total,opp_opp_e_f_shots_on_target,opp_opp_e_f_ball_safe,opp_opp_e_f_possession,opp_opp_e_f_attacks
187,187,2,0,3,3,0,3,2,4,1.0,1.21929824561,1,1,1,-2,-3,0.5,0.722222222222,56.0,43.0,119.0,101.0,45.0,49.0,1.0,1.0,3.0,2.0,7.0,6.0,10.0,11.0,119.0,102.0,1.0,1.0,56.0,43.0,119.0,97.0,59.0,51.0,1.0,3.0,8.0,7.0,9.0,4.0,12.0,6.0,87.0,71.0,1.0,1.0,47.0,10.5,6.5,110.5,49.5,110.0,55.0,9.0,6.5,79.0,49.0,95.0,68.5,6.5,1.5,108.0,46.0,132.0,44.0,10.0,5.0,79.0,48.0,78.0
188,188,3,0,2,0,2,2,0,2,0.714285714286,0.229166666667,1,0,0,-1,-3,0.0,0.5,56.0,45.0,119.0,111.0,45.0,45.5,1.0,1.0,3.0,2.0,7.0,4.5,10.0,8.0,119.0,109.0,1.0,2.0,56.0,45.0,119.0,72.0,55.5,39.0,1.5,4.0,7.5,8.0,4.0,2.0,10.5,3.0,89.0,82.0,2.0,1.0,45.3333333333,8.66666666667,5.33333333333,112.333333333,48.6666666667,113.666666667,50.0,8.0,3.33333333333,86.6666666667,48.3333333333,89.6666666667,57.0,11.0,6.5,92.75,49.5,107.25,43.0,10.25,6.5,85.5,48.5,87.25
189,189,4,1,1,0,1,1,0,1,0.555555555556,0.679487179487,0,0,0,-1,-2,0.25,0.717391304348,56.0,44.3333333333,119.0,109.333333333,45.0,44.0,1.0,1.66666666667,3.0,2.0,7.0,4.66666666667,10.0,8.0,119.0,106.0,1.0,3.0,56.0,44.3333333333,119.0,89.0,60.0,55.6666666667,0.0,1.0,8.0,6.0,7.0,5.66666666667,15.0,9.33333333333,98.0,80.6666666667,1.0,3.0,44.25,8.5,5.25,109.25,47.25,111.75,56.75,10.75,6.0,85.0,55.75,92.0,49.75,8.0,3.25,90.25,50.5,96.0,55.6,12.6,6.4,88.8,49.2,105.8
190,190,5,0,1,2,0,1,0,3,0.636363636364,1.08397849462,1,1,1,0,0,0.46,0.5,56.0,44.3333333333,118.0,109.333333333,44.5,44.0,1.5,1.66666666667,4.0,2.0,7.0,4.66666666667,11.0,8.0,117.5,106.0,2.0,3.0,56.0,44.3333333333,118.0,98.5,51.0,45.5,1.33333333333,2.0,7.66666666667,2.0,4.66666666667,1.5,7.66666666667,6.5,93.0,103.0,3.0,2.0,44.2,9.2,5.6,110.6,49.0,112.8,48.8,7.2,3.4,97.0,44.6,95.2,56.6,10.6,5.4,86.0,53.4,95.4,60.6,12.8,6.8,111.0,61.6,121.4
191,191,6,1,2,2,1,1,0,4,0.714285714286,1.27811447811,0,1,1,0,1,0.566666666667,0.328571428571,56.0,47.0,118.0,104.5,44.5,42.0,1.5,1.66666666667,4.0,4.0,7.0,5.25,11.0,9.0,117.5,100.5,2.0,4.0,56.0,47.0,118.0,117.5,53.9948416127,50.0,1.49731224486,2.16666666667,5.7585156038,3.16666666667,5.60542029843,4.0,10.52197504,8.16666666667,94.5018922414,118.333333333,0.0,6.0,42.8333333333,9.66666666667,5.83333333333,106.166666667,50.0,109.0,50.0,8.16666666667,4.0,118.333333333,46.0,117.5,46.3333333333,6.5,3.16666666667,94.8333333333,44.6666666667,92.1666666667,56.8571428571,10.4285714286,5.0,99.7142857143,50.2857142857,110.285714286
192,192,7,0,1,0,2,1,0,2,0.588235294118,0.932298136646,1,0,1,-1,-3,0.385714285714,0.6,54.6666666667,47.0,112.333333333,104.5,50.0,42.0,1.0,1.66666666667,5.0,4.0,5.66666666667,5.25,10.0,9.0,108.0,100.5,3.0,4.0,54.6666666667,47.0,112.333333333,100.333333333,63.75,53.0,2.0,2.66666666667,6.0,3.66666666667,6.5,4.66666666667,13.0,11.0,120.0,86.3333333333,4.0,3.0,45.4285714286,9.42857142857,5.42857142857,103.714285714,50.2857142857,107.857142857,59.1428571429,12.1428571429,5.71428571429,105.571428571,60.5714285714,115.0,49.4285714286,8.0,4.0,113.428571429,46.2857142857,113.285714286,52.1428571429,9.0,4.85714285714,93.8571428571,47.2857142857,103.714285714
193,193,7,1,1,0,2,1,0,2,0.588235294118,1.57021276596,0,2,1,0,4,0.7,0.318181818182,54.6666666667,47.0,112.333333333,104.5,50.0,42.0,1.0,1.66666666667,5.0,4.0,5.66666666667,5.25,10.0,9.0,108.0,100.5,3.0,4.0,54.6666666667,47.0,112.333333333,97.25,51.75,44.25,2.75,2.75,6.0,3.75,7.5,4.75,10.75,8.25,83.75,100.25,4.0,4.0,45.4285714286,9.42857142857,5.42857142857,103.714285714,50.2857142857,107.857142857,48.0,9.5,6.125,92.0,50.625,95.5,49.4285714286,8.0,4.0,113.428571429,46.2857142857,113.285714286,50.2857142857,9.85714285714,5.0,88.8571428571,51.2857142857,93.5714285714
194,194,9,0,1,2,2,1,0,2,0.568181818182,0.880529432254,1,1,0,-1,-3,0.361111111111,0.391891891892,53.25,46.8,109.75,106.4,52.0,42.0,1.0,2.25,6.25,4.0,5.75,4.6,10.25,8.2,104.0,101.0,4.0,5.0,53.25,46.8,109.75,93.4,64.3333333333,54.2,1.0,1.0,10.3333333333,5.6,5.66666666667,4.8,12.0,9.4,103.666666667,82.6,3.0,5.0,46.4444444444,9.11111111111,5.11111111111,102.333333333,49.6666666667,107.888888889,58.0,10.375,5.125,90.5,53.125,97.5,48.4444444444,9.11111111111,6.0,90.0,50.6666666667,95.7777777778,51.125,10.125,5.25,87.125,50.5,94.0
195,195,10,1,1,4,4,1,0,2,0.561224489796,1.33152246814,0,1,1,0,3,0.585714285714,0.546511627907,53.25,47.0,109.75,106.666666667,52.0,46.6666666667,1.0,2.2,6.25,3.5,5.75,6.0,10.25,9.5,104.0,99.6666666667,4.0,6.0,53.25,47.0,109.75,97.25,45.5,58.25,1.0,1.75,5.0,5.0,5.25,3.75,9.25,8.0,104.5,90.75,4.0,4.0,48.8,9.8,5.9,101.4,49.5,107.9,51.875,8.625,4.5,97.625,48.25,109.0,58.8888888889,10.3333333333,5.33333333333,92.1111111111,53.0,98.7777777778,47.3,7.1,3.9,96.1,48.0,96.1
196,196,11,0,1,1,1,1,0,2,0.555555555556,1.10465822226,1,1,1,0,1,0.478723404255,0.467741935484,52.2,47.0,111.0,106.666666667,52.8,46.6666666667,1.4,2.2,6.2,3.5,6.4,6.0,10.8,9.5,103.4,99.6666666667,5.0,6.0,52.2,47.0,111.0,97.8,59.2,39.6,2.4,1.6,7.2,4.8,6.0,3.0,10.2,8.6,95.6,103.8,5.0,5.0,49.4545454545,10.0909090909,6.18181818182,101.363636364,49.3636363636,108.636363636,49.4,9.4,4.5,99.7,46.9,105.555555556,53.0,9.2,4.6,97.3,48.8,110.2,57.6153846154,9.84615384615,4.23076923077,102.076923077,51.6153846154,115.846153846
197,197,12,1,1,1,2,1,0,1,0.51724137931,1.52174459527,0,1,2,1,12,0.676470588235,0.576923076923,52.2,47.0,111.0,106.666666667,52.8,46.6666666667,1.4,1.83333333333,6.2,3.5,6.4,6.0,10.8,9.5,103.4,99.6666666667,5.0,7.0,52.2,47.0,111.0,96.6,48.8,46.8,1.33333333333,2.4,5.4,3.0,7.0,2.4,10.8,6.4,83.6,95.2,6.0,5.0,49.4545454545,10.0909090909,6.18181818182,101.363636364,49.3636363636,108.636363636,47.8,8.6,4.7,89.4,51.7,96.6,49.4,9.4,4.5,99.7,46.9,105.555555556,48.1818181818,7.54545454545,4.27272727273,99.5454545455,48.4545454545,98.8181818182
198,198,13,0,1,3,2,1,0,2,0.548387096774,1.0071194531,1,1,1,-1,-3,0.415254237288,0.611111111111,52.2,47.0,111.0,106.666666667,52.8,46.6666666667,1.16666666667,1.83333333333,6.2,3.5,6.4,6.0,10.8,9.5,103.4,99.6666666667,6.0,7.0,52.2,47.0,111.0,91.8333333333,57.6,53.6666666667,0.666666666667,0.857142857143,8.6,5.16666666667,5.6,4.5,10.2,9.0,99.0,82.5,6.0,7.0,49.4545454545,10.0909090909,6.18181818182,101.363636364,49.3636363636,108.636363636,55.4545454545,9.54545454545,5.0,90.0,52.8181818182,95.1818181818,46.4545454545,7.81818181818,4.27272727273,91.7272727273,52.0909090909,98.3636363636,52.0909090909,9.63636363636,4.90909090909,95.9090909091,48.7272727273,108.545454545
199,199,14,1,1,0,0,1,0,2,0.544776119403,1.03742055103,0,1,0,-1,-2,0.427710843373,0.615384615385,52.2,46.7142857143,111.0,101.0,52.8,42.5714285714,1.16666666667,1.85714285714,6.2,3.57142857143,6.4,5.42857142857,10.8,8.85714285714,103.4,94.4285714286,6.0,8.0,52.2,46.7142857143,111.0,110.875,56.1428571429,52.75,1.11111111111,1.75,5.28571428571,5.375,4.85714285714,3.625,11.4285714286,8.25,103.571428571,98.5,9.0,8.0,46.8333333333,9.66666666667,5.83333333333,98.1666666667,49.0,105.166666667,54.3333333333,9.73333333333,4.2,100.866666667,50.6666666667,112.733333333,53.0,9.25,4.75,88.9166666667,53.0,93.0833333333,52.0,10.6666666667,5.26666666667,90.1333333333,51.0666666667,96.7333333333
