,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
13,895.0,34,Toronto FC,25.0,Philadelphia Union,2016-09-24 21:00:00,28,3.0,1,4-3-1-2,0.5,0.192307692308,5,2,5,6,0.572473404255,0,0,154.0,,31.0,206.0,3,9.0,17.0,290.0,2,13.0,319.0,24.0,24.0,31.0,141.0,5.0,31.0,134.0,1,11.0,15.0,289.0,1,16.0,317.0,37.0,24.0,31.0,0.66666,0.33333,1.0,0.33333
14,897.0,35,Orlando City SC,33.0,DC United,2016-09-24 23:00:00,28,3.0,0,4-2-3-1,0.375,0.357142857143,7,6,9,7,0.395380434783,0,0,138.0,8.0,32.0,150.0,4,7.0,11.0,262.0,3,17.0,283.0,33.0,25.0,32.0,121.0,,39.0,155.0,4,11.0,15.0,307.0,2,20.0,316.0,35.0,25.0,39.0,1.0,0.0,0.0,0.33333
15,903.0,36,New England Revolution,39.0,Columbus Crew,2016-09-25 23:00:00,28,3.0,0,4-3-1-2,1.0,0.375,8,6,2,6,0.454343365253,0,0,150.0,3.0,41.0,162.0,3,5.0,16.0,324.0,5,24.0,376.0,31.0,35.0,41.0,157.0,,28.0,170.0,2,14.0,16.0,286.0,4,14.0,296.0,34.0,25.0,28.0,1.0,0.66666,0.66666,0.0
16,902.0,37,Seattle Sounders,26.0,LA Galaxy,2016-09-25 20:00:00,28,3.0,0,4-2-3-1,0.5,0.642857142857,4,9,5,7,0.443055555556,0,0,151.0,7.0,22.0,177.0,4,8.0,13.0,260.0,0,8.0,299.0,28.0,21.0,22.0,125.0,6.0,23.0,106.0,4,8.0,5.0,269.0,5,10.0,251.0,35.0,43.0,23.0,0.0,0.66666,0.33333,0.66666
17,899.0,38,Houston Dynamo,30.0,Portland Timbers,2016-09-25 01:00:00,28,3.0,1,4-1-4-1,0.5,0.666666666667,5,4,6,4,0.356589147287,0,0,152.0,9.0,22.0,104.0,2,8.0,14.0,270.0,3,12.0,262.0,30.0,27.0,22.0,151.0,5.0,35.0,153.0,3,17.0,13.0,257.0,1,12.0,293.0,33.0,22.0,35.0,0.0,0.33333,0.0,0.0
18,903.0,39,Columbus Crew,36.0,New England Revolution,2016-09-25 23:00:00,28,3.0,1,4-2-3-1,0.375,1.0,6,8,6,2,0.374335106383,0,0,157.0,,28.0,170.0,2,14.0,16.0,286.0,4,14.0,296.0,34.0,25.0,28.0,150.0,3.0,41.0,162.0,3,5.0,16.0,324.0,5,24.0,376.0,31.0,35.0,41.0,0.33333,0.33333,0.0,0.66666
19,894.0,40,Chicago Fire,24.0,New York City FC,2016-09-24 00:00:00,28,3.0,0,4-2-3-1,0.433333333333,0.5,6,6,4,7,0.423268398268,0,0,159.0,,29.0,123.0,3,9.0,16.0,282.0,3,14.0,258.0,36.0,34.0,29.0,186.0,5.0,28.0,146.0,5,18.0,15.0,329.0,1,13.0,304.0,51.0,38.0,28.0,0.66666,0.33333,0.33333,0.66666
20,59.0,41,Southampton FC,47.0,West Ham United,2016-09-25 15:00:00,6,3.0,0,4-2-3-1,0.5,0.0,3,5,3,11,0.352403846154,0,0,169.0,8.0,33.0,169.0,2,4.0,13.0,289.0,1,17.0,314.0,20.0,26.0,33.0,150.0,6.0,27.0,176.0,3,8.0,14.0,277.0,2,11.0,305.0,35.0,28.0,27.0,0.66666,0.0,0.0,0.0
21,52.0,42,Manchester City,45.0,Swansea City,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,1.0,0.192307692308,9,3,2,5,0.696428571429,0,0,187.0,4.0,43.0,174.0,3,5.0,14.0,288.0,6,22.0,327.0,19.0,18.0,43.0,147.0,6.0,19.0,123.0,3,10.0,8.0,275.0,0,9.0,279.0,36.0,31.0,19.0,1.0,1.0,1.0,0.0
22,58.0,43,Arsenal FC,48.0,Chelsea FC,2016-09-24 16:30:00,6,3.0,1,4-2-3-1,1.0,0.433333333333,9,6,3,4,0.459640522876,0,0,175.0,5.0,34.0,180.0,4,11.0,12.0,292.0,5,19.0,307.0,25.0,22.0,34.0,171.0,7.0,34.0,180.0,3,1.0,26.0,262.0,3,15.0,299.0,12.0,11.0,34.0,1.0,0.33333,0.33333,1.0
