,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,rpi,opp_rpi,goals,points,offensive_ranking,opp_defensive_ranking
19,894.0,40,Chicago Fire,24.0,New York City FC,2016-09-24 00:00:00,28,3.0,0,4-2-3-1,6,4,6,7,0.206896551724,0.862745098039,0.476744186047,0.541528239203,0.914893617021,1.26470588235,0.423268398268,0.564233146894,0,0,0.66666,0.0
20,59.0,41,Southampton FC,47.0,West Ham United,2016-09-25 15:00:00,6,3.0,0,4-2-3-1,3,3,5,11,0.0909090909091,0.685714285714,0.53821656051,0.600858369099,1.08650519031,0.866171003717,0.352403846154,0.430355388143,0,0,0.66666,0.0
21,52.0,42,Manchester City,45.0,Swansea City,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,9,2,3,5,0.209302325581,0.861111111111,0.532110091743,0.53821656051,1.13541666667,1.08650519031,0.696428571429,0.406356143856,0,0,1.0,0.33333
22,58.0,43,Arsenal FC,48.0,Chelsea FC,2016-09-24 16:30:00,6,3.0,1,4-2-3-1,9,3,6,4,0.264705882353,0.666666666667,0.586319218241,0.490196078431,1.05136986301,1.0303030303,0.459640522876,0.486033681765,0,0,1.0,1.0
23,55.0,44,Everton FC,55.0,Bournemouth AFC,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,7,1,2,5,0.189189189189,0.871794871795,0.413173652695,0.532110091743,1.02769230769,1.13541666667,0.529761904762,0.611167002012,0,0,1.0,0.0
24,52.0,45,Swansea City,42.0,Manchester City,2016-09-24 14:00:00,6,3.0,1,4-3-3,3,5,9,2,0.157894736842,0.894736842105,0.440860215054,0.654028436019,1.01454545455,0.871900826446,0.417395104895,0.56088937775,0,0,0.0,1.0
25,56.0,46,West Bromwich Albion,49.0,Stoke City,2016-09-24 14:00:00,6,3.0,0,4-2-3-1,4,3,1,9,0.16,0.709677419355,0.600858369099,0.533073929961,0.866171003717,0.93795620438,0.302325581395,0.510749385749,0,0,0.33333,0.0
26,59.0,47,West Ham United,41.0,Southampton FC,2016-09-25 15:00:00,6,3.0,1,4-3-3,5,11,3,3,0.185185185185,0.85,0.577049180328,0.440860215054,1.10108303249,1.01454545455,0.303571428571,0.495989304813,0,0,0.33333,1.0
27,58.0,48,Chelsea FC,43.0,Arsenal FC,2016-09-24 16:30:00,6,3.0,0,4-2-3-1,6,4,9,3,0.176470588235,0.88,0.602006688963,0.320610687023,1.14122137405,0.856209150327,0.685714285714,0.591390160183,0,0,0.66666,0.66666
28,56.0,49,Stoke City,46.0,West Bromwich Albion,2016-09-24 14:00:00,6,3.0,1,4-2-3-1,1,9,4,3,0.04,0.888888888889,0.396610169492,0.577049180328,1.1568627451,1.10108303249,0.470238095238,0.393327067669,0,0,0.33333,0.66666
