,is_home,current_formation,avg_points,avg_goals_for,avg_goals_against,margin,goal_diff,win_percentage,sos,opp_is_home,opp_formation,opp_avg_points,opp_avg_goals,opp_margin,opp_goal_diff,opp_win_percentage,opp_opp_record,current_team_home_possession,current_team_away_possession,current_team_home_attacks,current_team_away_attacks,current_team_home_dangerous_attacks,current_team_away_dangerous_attacks,current_team_home_yellow_card,current_team_away_yellow_card,current_team_home_corner_kicks,current_team_away_corner_kicks,current_team_home_shots_on_target,current_team_away_shots_on_target,current_team_home_shots_total,current_team_away_shots_total,current_team_home_ball_safe,current_team_away_ball_safe,current_team_home_played,current_team_away_played,current_opp_home_attacks,current_opp_away_attacks,current_opp_home_dangerous_attacks,current_opp_away_dangerous_attacks,current_opp_home_yellow_card,current_opp_away_yellow_card,current_opp_home_corner_kicks,current_opp_away_corner_kicks,current_opp_home_shots_on_target,current_opp_away_shots_on_target,current_opp_home_shots_total,current_opp_away_shots_total,current_opp_home_ball_safe,current_opp_away_ball_safe,current_opp_home_played,current_opp_away_played,e_f_dangerous_attacks,e_f_shots_total,e_f_shots_on_target,e_f_ball_safe,e_f_possession,e_f_attacks,opp_e_f_dangerous_attacks,opp_e_f_shots_total,opp_e_f_shots_on_target,opp_e_f_ball_safe,opp_e_f_possession,opp_e_f_attacks,prev_opp_e_f_dangerous_attacks,prev_opp_e_f_shots_total,prev_opp_e_f_shots_on_target,prev_opp_e_f_ball_safe,prev_opp_e_f_possession,prev_opp_e_f_attacks,opp_opp_e_f_dangerous_attacks,opp_opp_e_f_shots_total,opp_opp_e_f_shots_on_target,opp_opp_e_f_ball_safe,opp_opp_e_f_possession,opp_opp_e_f_attacks
12,0,12,1.76923076923,1.46153846154,1.46153846154,0.0,0,0.637931034483,1.07881334352,1,2,1.08333333333,1.25,-0.416666666667,-5,0.463636363636,0.318181818182,50.0,51.5,101.571428571,93.8333333333,55.0,51.3333333333,2.0,2.16666666667,5.57142857143,5.0,6.42857142857,4.5,12.7142857143,8.83333333333,91.5714285714,89.8333333333,7.0,6.0,117.333333333,106.333333333,66.5,56.6666666667,1.66666666667,1.5,5.0,3.16666666667,5.5,6.0,10.6666666667,11.1666666667,91.6666666667,92.0,6.0,6.0,53.3076923077,10.9230769231,5.53846153846,90.7692307692,50.6923076923,98.0,61.5833333333,10.9166666667,5.75,91.8333333333,50.3333333333,111.833333333,52.2,9.6,5.2,91.0,52.1,97.1,45.4444444444,6.44444444444,2.66666666667,96.0,46.3333333333,91.7777777778
13,0,2,1.85714285714,1.64285714286,1.5,0.142857142857,2,0.671875,1.32198340875,1,12,1.58333333333,1.33333333333,0.0833333333333,1,0.576923076923,0.676470588235,50.0,51.5,101.571428571,93.8333333333,55.0,51.3333333333,2.0,1.85714285714,5.57142857143,5.0,6.42857142857,4.5,12.7142857143,8.83333333333,91.5714285714,89.8333333333,7.0,7.0,104.5,92.0,48.8333333333,47.4,1.5,1.33333333333,3.66666666667,3.4,4.5,4.0,7.16666666667,8.0,104.333333333,93.8,6.0,6.0,53.3076923077,10.9230769231,5.53846153846,90.7692307692,50.6923076923,98.0,48.1818181818,7.54545454545,4.27272727273,99.5454545455,48.4545454545,98.8181818182,61.5833333333,10.9166666667,5.75,91.8333333333,50.3333333333,111.833333333,47.8,8.6,4.7,89.4,51.7,96.6
14,1,2,1.8,1.53333333333,1.4,0.133333333333,2,0.659420289855,0.85171471392,0,1,0.923076923077,1.46153846154,-0.153846153846,-2,0.342105263158,0.514492753623,50.0,51.5,101.571428571,93.8333333333,55.0,51.3333333333,2.0,1.625,5.57142857143,5.0,6.42857142857,4.5,12.7142857143,8.83333333333,91.5714285714,89.8333333333,7.0,8.0,89.6666666667,95.0,49.6666666667,45.2,1.5,0.571428571429,4.16666666667,6.2,5.16666666667,4.4,10.3333333333,8.8,84.3333333333,94.8,6.0,7.0,53.3076923077,10.9230769231,5.53846153846,90.7692307692,50.6923076923,98.0,47.6363636364,9.63636363636,4.81818181818,89.0909090909,49.4545454545,92.0909090909,48.1818181818,7.54545454545,4.27272727273,99.5454545455,48.4545454545,98.8181818182,46.6923076923,10.0,6.0,92.6153846154,48.8461538462,93.2307692308
15,0,12,1.75,1.5,1.375,0.125,2,0.648648648649,0.980769071978,1,7,1.125,0.875,-0.25,-4,0.398734177215,0.616666666667,50.25,51.5,99.25,93.8333333333,52.5,51.3333333333,1.85714285714,1.625,5.125,5.0,6.375,4.5,12.25,8.83333333333,90.375,89.8333333333,8.0,8.0,118.166666667,110.875,61.5,52.75,0.875,1.75,6.16666666667,5.375,5.16666666667,3.625,12.1666666667,8.25,103.166666667,98.5,8.0,8.0,52.0,10.7857142857,5.57142857143,90.1428571429,50.7857142857,96.9285714286,56.5,9.92857142857,4.28571428571,100.5,51.0714285714,114.0,46.8333333333,9.41666666667,4.66666666667,88.75,49.3333333333,90.75,46.4545454545,7.81818181818,4.27272727273,91.7272727273,52.0909090909,98.3636363636
16,1,7,1.64705882353,1.41176470588,1.41176470588,0.0,0,0.615384615385,1.43857972355,0,7,1.71428571429,1.78571428571,0.142857142857,2,0.638461538462,0.445205479452,50.25,52.0,99.25,93.8571428571,52.5,51.4285714286,1.85714285714,1.44444444444,5.125,5.0,6.375,4.0,12.25,8.85714285714,90.375,89.8571428571,8.0,9.0,91.2,75.6666666667,44.8,32.0,1.0,1.77777777778,4.2,3.57142857143,4.6,3.85714285714,9.4,6.85714285714,83.8,75.5714285714,5.0,9.0,52.0,10.6666666667,5.26666666667,90.1333333333,51.0666666667,96.7333333333,37.3333333333,7.91666666667,4.16666666667,79.0,48.25,82.7272727273,54.3333333333,9.73333333333,4.2,100.866666667,50.6666666667,112.733333333,49.0714285714,8.71428571429,4.92857142857,93.7857142857,46.9285714286,98.6428571429
17,1,7,1.72222222222,1.44444444444,1.33333333333,0.111111111111,2,0.634146341463,1.25072532324,0,2,1.33333333333,1.86666666667,0.2,3,0.542857142857,0.5,50.6666666667,52.0,99.1111111111,93.8571428571,53.1111111111,51.4285714286,1.875,1.44444444444,5.33333333333,5.0,6.22222222222,4.0,11.8888888889,8.85714285714,90.4444444444,89.8571428571,9.0,9.0,105.833333333,97.8,57.7142857143,39.6,1.77777777778,1.33333333333,7.0,4.8,6.0,3.0,11.0,8.6,92.4285714286,103.8,9.0,6.0,52.375,10.5625,5.25,90.1875,51.25,96.8125,50.1666666667,10.0,4.75,97.1666666667,47.6666666667,102.181818182,37.9333333333,8.0,4.0,78.6,49.2,82.9285714286,53.6153846154,9.23076923077,4.76923076923,103.538461538,48.7692307692,109.846153846
18,0,2,1.72222222222,1.44444444444,1.33333333333,0.111111111111,2,0.634146341463,1.16869147051,1,12,1.29411764706,1.11764705882,-0.0588235294118,-1,0.5,0.355072463768,50.6666666667,52.0,99.1111111111,93.8571428571,53.1111111111,51.4285714286,1.875,1.44444444444,5.33333333333,5.0,6.22222222222,4.0,11.8888888889,8.85714285714,90.4444444444,89.8571428571,9.0,9.0,103.714285714,90.75,50.8571428571,46.625,1.125,2.0,4.14285714286,3.25,4.85714285714,3.625,8.28571428571,8.0,102.571428571,89.875,8.0,9.0,52.375,10.5625,5.25,90.1875,51.25,96.8125,48.6,8.13333333333,4.2,95.8,48.9333333333,96.8,37.9333333333,8.0,4.0,78.6,49.2,82.9285714286,44.25,6.75,3.08333333333,92.8333333333,46.9166666667,89.0833333333
19,0,2,1.85,1.55,1.2,0.35,7,0.673913043478,0.884813434767,1,7,1.0625,0.875,-0.375,-6,0.355263157895,0.5,51.5,51.5,100.8,94.0,54.4,48.75,2.0,1.6,5.8,4.875,6.6,4.125,12.2,8.5,90.0,90.5,10.0,10.0,95.0,93.2857142857,51.8571428571,50.2857142857,1.25,1.42857142857,6.14285714286,5.14285714286,4.85714285714,4.57142857143,10.1428571429,8.57142857143,87.0,96.4285714286,8.0,8.0,51.8888888889,10.5555555556,5.5,90.2222222222,51.5,97.7777777778,51.0714285714,9.35714285714,4.71428571429,91.7142857143,51.2857142857,94.1428571429,48.3125,8.0,4.125,95.875,49.125,97.5,53.6153846154,9.23076923077,4.76923076923,103.538461538,48.7692307692,109.846153846
20,1,7,1.85,1.55,1.2,0.35,7,0.673913043478,0.876549951084,0,12,0.933333333333,1.0,-0.333333333333,-5,0.355072463768,0.462962962963,51.5,51.5,100.8,94.0,54.4,48.75,2.0,1.6,5.8,4.875,6.6,4.125,12.2,8.5,90.0,90.5,10.0,10.0,94.6666666667,83.5,46.5,42.0,1.0,1.0,6.5,3.0,3.83333333333,2.33333333333,7.16666666667,6.33333333333,94.1666666667,91.5,8.0,7.0,51.8888888889,10.5555555556,5.5,90.2222222222,51.5,97.7777777778,44.25,6.75,3.08333333333,92.8333333333,46.9166666667,89.0833333333,48.3125,8.0,4.125,95.875,49.125,97.5,48.3125,8.0,4.125,95.875,49.125,97.5
21,1,2,1.81818181818,1.54545454545,1.36363636364,0.181818181818,4,0.66,1.18844514509,0,2,1.38095238095,1.57142857143,-0.0952380952381,-2,0.510101010101,0.488636363636,51.8181818182,50.5555555556,101.545454545,90.8888888889,54.2727272727,46.3333333333,2.0,1.54545454545,5.63636363636,4.44444444444,6.81818181818,3.66666666667,12.4545454545,7.66666666667,89.9090909091,88.7777777778,11.0,11.0,93.1818181818,95.0,48.0909090909,46.875,1.5,1.55555555556,4.90909090909,3.75,6.0,5.0,10.7272727273,8.75,89.0909090909,90.875,12.0,9.0,50.7,10.3,5.4,89.4,51.25,96.75,47.5789473684,9.89473684211,5.57894736842,89.8421052632,49.2105263158,93.9473684211,42.0714285714,6.57142857143,3.07142857143,93.2857142857,45.8571428571,89.0,47.0,8.75,4.125,97.3125,48.3125,98.0666666667
