,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,456,6f069693-e89c-4b97-86bf-6d089112a566,scheduled,2016-12-25 17:00:00,2016-12-25 09:00:00,14,12,583152aa-de75-5bea-ac92-ac5b8a51f9f9
1,457,d56d8b51-dc9f-404c-987a-8ba49fc2c854,scheduled,2016-12-25 19:30:00,2016-12-25 11:30:00,6,17,42cddf7a-0e1f-5f91-ae6f-c620582fdb01
2,458,c7d9b4b0-2665-40ae-8d29-7b9879cb9a5e,scheduled,2016-12-25 22:00:00,2016-12-25 14:00:00,21,7,8a7580c0-4052-54d5-85cd-85aab6200acf
3,459,f7906368-2423-49f2-a2fe-49dce12bf2b5,scheduled,2016-12-26 01:00:00,2016-12-25 17:00:00,28,29,a13af216-4409-5021-8dd5-255cc71bffc3
4,460,bc31fdee-d7ec-4f8f-a049-3ab449acdfea,scheduled,2016-12-26 03:30:00,2016-12-25 19:30:00,18,16,792ec100-691e-5e16-8ef8-79b2b6ee38ba
