,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,476,68d61785-0ec2-4811-b627-67bec6b14161,scheduled,2016-12-29 00:00:00,2016-12-28 16:00:00,5,10,f62d5b49-d646-56e9-ba60-a875a00830f8
1,477,f6d5fd69-4d26-4535-a4f7-182547ca7b3f,scheduled,2016-12-29 00:00:00,2016-12-28 16:00:00,3,2,aecd8da6-0404-599c-a792-4b33fb084a2a
2,478,4f247fb3-456b-49cc-9683-e7b1d4774b15,scheduled,2016-12-29 00:30:00,2016-12-28 16:30:00,1,14,fd21f639-8a47-51ac-a5dd-590629d445cf
3,479,a675f8e4-ed8b-4245-97f9-32538b41500e,scheduled,2016-12-29 00:30:00,2016-12-28 16:30:00,9,8,e83899a5-a6dd-58f8-bd42-34b4857ee714
4,480,519eadc8-4436-42b6-85b5-b32a4004d4c5,scheduled,2016-12-29 01:00:00,2016-12-28 17:00:00,25,16,6ec47e31-f778-5319-b6c4-3254e076ba0e
5,481,f6e88007-f75e-491c-bc3e-4ca9c5d809b5,scheduled,2016-12-29 01:00:00,2016-12-28 17:00:00,7,13,38911649-acfd-551a-949b-68f0fcaa44e7
6,482,76b74349-6517-49a9-bf0a-f303dc384b30,scheduled,2016-12-29 01:30:00,2016-12-28 17:30:00,21,20,8a7580c0-4052-54d5-85cd-85aab6200acf
7,483,3fdb12dd-7b9b-4f81-aa2c-cbf5f7f433a3,scheduled,2016-12-29 02:00:00,2016-12-28 18:00:00,30,29,1a28ef88-76c9-5bcc-b4ee-51d30ca98f4f
8,484,9bd9bf6f-e016-4186-bca0-e29531c3f72a,scheduled,2016-12-29 03:00:00,2016-12-28 19:00:00,26,19,1d1f74a2-7b35-56f0-8cbd-552c51cb2c14
9,485,87e4c534-62f6-457d-a75a-644a436bd180,scheduled,2016-12-29 03:30:00,2016-12-28 19:30:00,17,11,e25e21f2-1d67-5f13-910b-81fc8629eea7
