,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,361,84858a16-bf8b-421e-a9fd-f2f9430e509f,closed,2016-12-13 00:00:00,2016-12-12 16:00:00,10,2,24bb478e-eb31-5f8a-8c8d-07f513169ec1
1,362,fbd15962-078d-454b-85db-f95b9ef1256d,closed,2016-12-13 00:30:00,2016-12-12 16:30:00,4,5,b67d5f09-28b2-5bc6-9097-af312007d2f4
2,363,ff940d0b-38de-40c5-8eb8-1c6fe64cbe17,closed,2016-12-13 00:30:00,2016-12-12 16:30:00,11,8,62cc9661-7b13-56e7-bf4a-bba7ad7be8da
3,364,a7c07c78-dc5a-495b-97fc-de39e9ae1fef,closed,2016-12-13 01:00:00,2016-12-12 17:00:00,22,13,5b239206-57ce-50aa-baaa-627f3349dfdc
4,365,ab6e1c77-9e04-4e80-a2bc-e6f8e1ac8799,closed,2016-12-13 01:30:00,2016-12-12 17:30:00,24,30,401ba62f-19b5-5bfc-84d6-021772943311
5,366,6f5d8c34-e73c-4f84-b7b2-b329fa06eb58,closed,2016-12-13 03:30:00,2016-12-12 19:30:00,16,26,792ec100-691e-5e16-8ef8-79b2b6ee38ba
6,367,a9956e2d-8dc1-45d3-9eeb-7a78ba1862b1,closed,2016-12-13 03:30:00,2016-12-12 19:30:00,19,18,2e687b9a-c7a7-487c-85b4-43479abc8458
