,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,508,086c1b42-b43a-46aa-b99a-8bd5b991cda5,scheduled,2017-01-01 23:00:00,2017-01-01 15:00:00,10,3,24bb478e-eb31-5f8a-8c8d-07f513169ec1
1,509,5dea1f70-c587-4ef3-a7f8-0e312ca96bb7,scheduled,2017-01-01 23:00:00,2017-01-01 15:00:00,1,21,fd21f639-8a47-51ac-a5dd-590629d445cf
2,510,e141c015-5271-495b-aa33-b67500bff69c,scheduled,2017-01-01 23:00:00,2017-01-01 15:00:00,4,9,b67d5f09-28b2-5bc6-9097-af312007d2f4
3,511,cb8cf581-1dd9-4d8e-8755-a2d5248dc4ab,scheduled,2017-01-02 00:00:00,2017-01-01 16:00:00,29,26,7aed802e-3562-5b73-af1b-3859529f9b95
4,512,50d058fd-7f81-4ddb-82bb-1191e8af1439,scheduled,2017-01-02 02:30:00,2017-01-01 18:30:00,18,11,792ec100-691e-5e16-8ef8-79b2b6ee38ba
