,team_1,team_2,over_under,spread
0,Houston Rockets,Philadelphia 76ers,220.0,-6.0
1,Sacramento Kings,Indiana Pacers,210.5,4.5
2,Milwaukee Bucks,Toronto Raptors,215.0,4.5
3,Brooklyn Nets,Cleveland Cavaliers,226.5,15.0
4,Orlando Magic,Boston Celtics,214.5,8.5
5,Charlotte Hornets,New York Knicks,211.5,-1.0
6,Miami Heat,Chicago Bulls,202.5,6.5
7,San Antonio Spurs,New Orleans Pelicans,210.5,-6.0
8,Washington Wizards,Atlanta Hawks,214.5,3.5
9,Memphis Grizzlies,Portland Trail Blazers,205.5,1.0
