,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,492,f9cbc0a7-0c42-49a5-8494-f4d6331e51a7,scheduled,2016-12-30 21:00:00,2016-12-30 13:00:00,10,7,24bb478e-eb31-5f8a-8c8d-07f513169ec1
1,493,89890c34-630c-41dc-b452-44172d1b8412,scheduled,2016-12-31 00:00:00,2016-12-30 16:00:00,5,13,f62d5b49-d646-56e9-ba60-a875a00830f8
2,494,20132a0d-32cc-444a-a9d6-9d9b05f37849,scheduled,2016-12-31 00:30:00,2016-12-30 16:30:00,12,4,7d69b080-91ca-53c9-9302-45c1a72c5549
3,495,0d415bea-bac9-4771-829c-d1636583235e,scheduled,2016-12-31 01:00:00,2016-12-30 17:00:00,29,8,7aed802e-3562-5b73-af1b-3859529f9b95
4,496,453a8e9d-c417-4759-8a28-cef86b399d3d,scheduled,2016-12-31 01:00:00,2016-12-30 17:00:00,22,16,5b239206-57ce-50aa-baaa-627f3349dfdc
5,497,c90371c8-3a7d-48d6-bb5c-49f3ea6b0cf7,scheduled,2016-12-31 01:00:00,2016-12-30 17:00:00,25,14,6ec47e31-f778-5319-b6c4-3254e076ba0e
6,498,cec9d420-7e33-4c52-b7e1-6996d0acb4dd,scheduled,2016-12-31 01:00:00,2016-12-30 17:00:00,1,9,fd21f639-8a47-51ac-a5dd-590629d445cf
7,499,b18835b2-9e71-4605-b019-e4ff515adc06,scheduled,2016-12-31 01:30:00,2016-12-30 17:30:00,21,26,8a7580c0-4052-54d5-85cd-85aab6200acf
8,500,f48d70fd-042b-4eae-8968-1e97d9fed19e,scheduled,2016-12-31 02:00:00,2016-12-30 18:00:00,30,15,1a28ef88-76c9-5bcc-b4ee-51d30ca98f4f
9,501,dab7ade2-8df8-4316-9c26-a267d9f8c7d6,scheduled,2016-12-31 03:30:00,2016-12-30 19:30:00,17,24,e25e21f2-1d67-5f13-910b-81fc8629eea7
