,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total
10,10,0.5207244176881235,0.28543776104773144,0.1938378212641452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City,0.0,0.0,1.0,2016-11-06 16:30:00,West Bromwich Albion,119.0,51,Middlesbrough FC,48.0,Chelsea FC,2016-11-20 16:00:00,12,3.0,1,4-2-3-1,0.6428571428571429,1.0,3,11,1,0,0.6016865079365079,0.0,0.0,101.0,5.0,21.0,99.0,2,15.0,9.0,329.0,1,10.0,281.0,37.0,42.0,21.0,149.0,6.611111111111112,35.0,119.0,5,6.0,12.0,286.0,6,23.0,273.0,20.0,23.0,35.0
11,11,0.15590410549951011,0.3186555637049541,0.5254403307955356,0.0,3.0,3.0,1.0,1.0,3.0,3.0,West Bromwich Albion,1.0,3.0,3.0,2016-11-06 16:30:00,Leicester City,116.0,52,Leicester City,57.0,Watford FC,2016-11-19 15:00:00,12,3.0,0,4-4-2,0.43333333333333335,0.5,5,2,4,6,0.4708333333333333,1.0,0.0,139.0,6.611111111111112,23.0,116.0,4,15.0,14.0,284.0,1,8.0,285.0,41.0,30.0,23.0,134.0,4.0,30.0,139.0,2,19.0,12.0,260.0,0,11.0,273.0,42.0,33.0,30.0
12,12,0.2920527371807145,0.3628242773236325,0.3451229854956531,0.0,0.0,0.0,1.0,1.0,3.0,1.0,Stoke City,0.0,0.0,3.0,2016-11-05 15:00:00,West Ham United,120.0,53,Burnley FC,46.0,West Bromwich Albion,2016-11-21 20:00:00,12,3.0,0,4-3-3,0.8076923076923077,0.375,5,3,3,7,0.3864468864468865,0.0,0.0,110.0,6.0,21.0,101.0,2,20.0,7.0,300.0,3,11.0,265.0,41.0,23.0,21.0,112.0,9.0,17.0,98.0,3,10.0,9.0,272.0,0,7.0,278.0,33.0,32.0,17.0
13,13,0.37297934469585453,0.34679085571629564,0.2802297995878497,1.0,3.0,3.0,0.0,0.0,0.0,0.0,West Ham United,0.0,0.0,0.0,2016-11-05 15:00:00,Stoke City,118.0,54,Tottenham Hotspur,47.0,West Ham United,2016-11-19 17:30:00,12,3.0,1,4-2-3-1,0.5,0.5,2,2,2,3,0.59375,3.0,3.0,186.0,9.0,38.0,159.0,1,5.0,14.0,324.0,1,16.0,328.0,22.0,29.0,38.0,149.0,9.0,28.0,172.0,2,10.0,20.0,267.0,0,12.0,310.0,28.0,19.0,28.0
14,14,0.2736550108647529,0.3028587946680828,0.4234861944671644,0.0,0.0,0.0,1.0,1.0,3.0,3.0,Crystal Palace,1.0,3.0,0.0,2016-11-05 15:00:00,Burnley FC,114.0,55,Bournemouth AFC,49.0,Stoke City,2016-11-19 15:00:00,12,3.0,0,4-2-3-1,0.16666666666666666,0.8333333333333334,1,6,4,2,0.3428030303030303,1.0,3.0,145.0,6.0,29.0,163.0,0,7.0,28.0,304.0,1,10.0,344.0,23.0,20.0,29.0,157.0,3.0,29.0,147.0,4,11.0,17.0,321.0,2,13.0,319.0,23.0,27.0,29.0
15,15,0.3748608863624006,0.3381942682439665,0.28694484539363285,1.0,3.0,3.0,0.0,0.0,0.0,0.0,Burnley FC,0.0,0.0,0.0,2016-11-05 15:00:00,Crystal Palace,112.0,56,Liverpool FC,41.0,Southampton FC,2016-11-19 15:00:00,12,3.0,0,4-3-3,1.0,0.16666666666666666,12,2,4,5,0.6191860465116279,0.0,1.0,189.0,4.0,53.0,186.0,4,11.0,12.0,338.0,8,34.0,362.0,22.0,15.0,53.0,148.0,6.611111111111112,26.0,146.0,0,8.0,20.0,294.0,2,12.0,343.0,28.0,30.0,26.0
16,16,0.09556718784064112,0.2984368135281407,0.6059959986312183,1.0,3.0,3.0,1.0,1.0,3.0,3.0,Sunderland AFC,1.0,3.0,3.0,2016-11-05 15:00:00,Bournemouth AFC,116.0,57,Watford FC,52.0,Leicester City,2016-11-19 15:00:00,12,3.0,1,4-4-2,0.5,0.43333333333333335,2,5,6,4,0.6976744186046512,2.0,3.0,134.0,4.0,30.0,139.0,2,19.0,12.0,260.0,0,11.0,273.0,42.0,33.0,30.0,139.0,6.611111111111112,23.0,116.0,4,15.0,14.0,284.0,1,8.0,285.0,41.0,30.0,23.0
17,17,0.5989096338579164,0.2827656537515398,0.11832471239054393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth AFC,0.0,0.0,0.0,2016-11-05 15:00:00,Sunderland AFC,111.0,58,Manchester United,43.0,Arsenal FC,2016-11-19 12:30:00,12,3.0,1,4-2-3-1,0.5666666666666667,0.6875,3,5,5,2,0.3848837209302325,1.0,1.0,183.0,6.0,39.0,194.0,0,5.0,26.0,264.0,3,19.0,333.0,19.0,23.0,39.0,181.0,5.0,37.0,208.0,3,5.0,23.0,291.0,2,16.0,353.0,18.0,15.0,37.0
18,18,0.07700151060849701,0.31381882129216776,0.6091796680993352,1.0,3.0,3.0,1.0,1.0,3.0,3.0,Watford FC,1.0,3.0,3.0,2016-11-06 14:15:00,Liverpool FC,113.0,59,Crystal Palace,42.0,Manchester City,2016-11-19 15:00:00,12,3.0,1,4-2-3-1,0.0,0.6875,5,6,10,2,0.4800656660412758,1.0,0.0,150.0,6.611111111111112,33.0,171.0,3,9.0,18.0,325.0,2,18.0,368.0,34.0,23.0,33.0,194.0,7.0,42.0,220.0,3,4.0,25.0,301.0,3,18.0,390.0,15.0,19.0,42.0
19,19,0.6259886485551115,0.2367436199694783,0.13726773147541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool FC,0.0,0.0,0.0,2016-11-06 14:15:00,Watford FC,117.0,60,Sunderland AFC,50.0,Hull City,2016-11-19 15:00:00,12,3.0,1,4-4-2,0.375,0.2857142857142857,3,2,6,4,0.3020833333333333,3.0,3.0,138.0,12.0,12.0,112.0,2,13.0,4.0,235.0,1,8.0,225.0,46.0,35.0,12.0,139.0,4.0,18.0,116.0,2,11.0,8.0,283.0,0,7.0,260.0,34.0,35.0,18.0
20,20,0.5912777265538133,0.30497272999119623,0.10374954345499032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,0.0,0.0,0.0,2016-11-05 14:30:00,1899 Hoffenheim,98.0,61,1899 Hoffenheim,65.0,Hamburger SV,2016-11-20 14:30:00,11,3.0,1,3-5-2,0.8333333333333334,0.0,5,2,1,11,0.7443181818181819,2.0,1.0,152.0,3.0,31.0,120.0,2,7.0,11.0,257.0,3,17.0,250.0,21.0,23.0,31.0,128.0,4.0,21.0,162.0,2,7.0,9.0,264.0,0,8.0,299.0,32.0,30.0,21.0
21,21,0.09592226970804084,0.33213942242086736,0.5719383078710918,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1899 Hoffenheim,1.0,3.0,3.0,2016-11-05 14:30:00,Bayern Munich,95.0,62,FC Schalke 04,75.0,VfL Wolfsburg,2016-11-19 14:30:00,11,3.0,0,3-5-2,0.8076923076923077,0.375,6,5,1,5,0.40250447227191416,1.0,3.0,144.0,8.0,26.0,125.0,3,10.0,10.0,223.0,3,10.0,220.0,19.0,17.0,26.0,167.0,5.0,22.0,139.0,3,7.0,14.0,331.0,2,8.0,340.0,27.0,29.0,22.0
22,22,0.13061137505977566,0.2980227963677384,0.5713658285724861,0.0,3.0,3.0,1.0,1.0,3.0,3.0,Werder Bremen,0.0,3.0,3.0,2016-11-06 16:30:00,FC Schalke 04,94.0,63,Hertha BSC,68.0,FC Augsburg,2016-11-19 14:30:00,11,3.0,0,4-2-3-1,0.6666666666666666,0.375,5,4,2,5,0.4592490842490842,0.0,1.0,150.0,8.0,25.0,131.0,2,9.0,11.0,264.0,3,15.0,269.0,36.0,30.0,25.0,126.0,3.0,26.0,112.0,4,11.0,11.0,287.0,0,14.0,274.0,32.0,27.0,26.0
23,23,0.5536885473713531,0.31386710952070285,0.13244434310794412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FC Schalke 04,0.0,0.0,0.0,2016-11-06 16:30:00,Werder Bremen,92.0,64,SC Freiburg,73.0,1 FSV Mainz 05,2016-11-19 14:30:00,11,3.0,0,4-4-2,0.625,0.3333333333333333,5,3,5,6,0.4741847826086956,2.0,0.0,149.0,7.0,29.0,130.0,3,10.0,10.0,259.0,2,13.0,299.0,32.0,29.0,29.0,155.0,7.0,28.0,135.0,3,6.0,14.0,260.0,0,15.0,296.0,17.0,17.0,28.0
24,24,0.3408562755167917,0.30947216210538003,0.3496715623778282,0.0,0.0,0.0,1.0,0.0,3.0,3.0,Monchengladbach,1.0,3.0,0.0,2016-11-04 19:30:00,Hertha BSC,98.0,65,Hamburger SV,61.0,1899 Hoffenheim,2016-11-20 14:30:00,11,3.0,0,5-4-1,0.0,0.8333333333333334,2,5,11,1,0.4176136363636364,2.0,1.0,128.0,4.0,21.0,162.0,2,7.0,9.0,264.0,0,8.0,299.0,32.0,30.0,21.0,152.0,3.0,31.0,120.0,2,7.0,11.0,257.0,3,17.0,250.0,21.0,23.0,31.0
25,25,0.33205800590889023,0.34673374628619763,0.3212082478049121,1.0,3.0,3.0,0.0,0.0,0.0,1.0,Hertha BSC,0.0,0.0,1.0,2016-11-04 19:30:00,Monchengladbach,96.0,66,Monchengladbach,78.0,1 FC Cologne,2016-11-19 14:30:00,11,3.0,1,3-4-1-2,0.1923076923076923,0.3333333333333333,0,4,5,3,0.5001602564102563,1.0,0.0,147.0,5.0,16.0,107.0,0,7.0,5.0,285.0,0,4.0,258.0,27.0,29.0,16.0,152.0,7.0,29.0,186.0,4,7.0,17.0,306.0,0,10.0,282.0,21.0,21.0,29.0
26,26,0.1586724923401832,0.3045527098245205,0.5367747978352964,0.0,3.0,3.0,1.0,1.0,3.0,3.0,VfL Wolfsburg,0.0,3.0,3.0,2016-11-05 14:30:00,SC Freiburg,97.0,67,Borussia Dortmund,76.0,Bayern Munich,2016-11-19 17:30:00,11,3.0,1,3-4-3,0.6875,0.8333333333333334,8,6,5,2,0.33175872093023256,1.0,3.0,170.0,5.0,36.0,168.0,5,10.0,12.0,278.0,3,17.0,296.0,29.0,21.0,36.0,189.0,0.0,43.0,213.0,1,5.0,26.0,272.0,5,16.0,358.0,12.0,9.0,43.0
27,27,0.4909943503709318,0.29395802152715816,0.21504762810191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SC Freiburg,0.0,0.0,0.0,2016-11-05 14:30:00,VfL Wolfsburg,94.0,68,FC Augsburg,63.0,Hertha BSC,2016-11-19 14:30:00,11,3.0,1,4-2-3-1,0.375,0.6666666666666666,4,5,5,2,0.29640151515151514,0.0,1.0,126.0,3.0,26.0,112.0,4,11.0,11.0,287.0,0,14.0,274.0,32.0,27.0,26.0,150.0,8.0,25.0,131.0,2,9.0,11.0,264.0,3,15.0,269.0,36.0,30.0,25.0
