,team_1,team_2,over_under,spread
0,Indiana Pacers,New Orleans Pelicans,209.5,2.5
1,Chicago Bulls,Milwaukee Bucks,206.5,-1.0
2,San Antonio Spurs,Phoenix Suns,210.0,-8.0
3,Portland Trail Blazers,Denver Nuggets,221.0,2.5
4,New York Knicks,Golden State Warriors,222.5,16.5
