,id,stats_id,status,scheduled,scheduled_pst,home_id,away_id,venue_id
0,437,776b7eb2-e8d7-44b4-a62b-34490f66aeb3,scheduled,2016-12-23 00:30:00,2016-12-22 16:30:00,4,18,b67d5f09-28b2-5bc6-9097-af312007d2f4
1,438,84247412-586c-46b8-847b-51dbd52a6870,scheduled,2016-12-23 00:30:00,2016-12-22 16:30:00,14,3,583152aa-de75-5bea-ac92-ac5b8a51f9f9
2,439,cd014960-2c5c-4589-a619-9000153979c0,scheduled,2016-12-23 00:30:00,2016-12-22 16:30:00,13,17,7a330bcd-ac0f-50ca-bc29-2460e5c476b3
3,440,bfc422a1-8cdd-44f9-b8ab-de3b62af8b48,scheduled,2016-12-23 01:00:00,2016-12-22 17:00:00,10,12,24bb478e-eb31-5f8a-8c8d-07f513169ec1
4,441,e6ca076f-b656-4391-adc5-d6fd6aaa4afe,scheduled,2016-12-23 03:30:00,2016-12-22 19:30:00,16,21,792ec100-691e-5e16-8ef8-79b2b6ee38ba
