,team_1,team_2,over_under,spread
0,Brooklyn Nets,Orlando Magic,216.5,7.0
1,Detroit Pistons,Washington Wizards,203.5,-2.0
2,Atlanta Hawks,Toronto Raptors,215.5,7.5
3,Charlotte Hornets,Boston Celtics,206.0,7.5
4,Milwaukee Bucks,Chicago Bulls,204.0,5.5
5,Sacramento Kings,Memphis Grizzlies,195.5,5.5
6,New Orleans Pelicans,Houston Rockets,219.0,12.0
7,Los Angeles Lakers,Philadelphia 76ers,211.0,-2.0
8,Los Angeles Clippers,Miami Heat,206.5,-7.0
9,Dallas Mavericks,Utah Jazz,186.5,11.5
