,team_1,team_2,over_under,spread
0,Minnesota Timberwolves,Philadelphia 76ers,203.5,-4.5
1,Utah Jazz,Boston Celtics,200.5,5.5
2,Indiana Pacers,Detroit Pistons,204.5,5.0
3,Washington Wizards,Dallas Mavericks,200.5,-1.0
4,Toronto Raptors,San Antonio Spurs,206.5,6.5
5,Miami Heat,Phoenix Suns,211.5,2.5
6,Sacramento Kings,Denver Nuggets,216.0,3.5
7,Memphis Grizzlies,Los Angeles Lakers,206.0,-4.5
