,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,current_record,opp_record,goals_for,opp_goals_for,goals_against,opp_goals_against,rpi,goals,points,current_team_possession,current_team_yellow_cards,current_team_goal_attempts,current_team_dangerous_attacks,current_team_sec_half_goals,current_team_saves,current_team_corner_kicks,current_team_ball_safe,current_team_first_half_goals,current_team_shots_on_target,current_team_attacks,current_team_goal_attempts_allowed,current_team_goal_kicks,current_team_shots_total,opp_team_possession,opp_team_yellow_cards,opp_team_goal_attempts,opp_team_dangerous_attacks,opp_team_sec_half_goals,opp_team_saves,opp_team_corner_kicks,opp_team_ball_safe,opp_team_first_half_goals,opp_team_shots_on_target,opp_team_attacks,opp_team_goal_attempts_allowed,opp_team_goal_kicks,opp_team_shots_total,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
13,94.0,54,Tottenham Hotspur,52.0,Leicester City,2016-10-29 14:00:00,10,3.0,1,4-2-3-1,0.6428571428571429,0.5,3,3,1,4,0.5908385093167702,0,0,170.0,8.0,34.0,183.0,1,10.0,16.0,329.0,2,21.0,365.0,19.0,24.0,34.0,136.0,,21.0,108.0,2,15.0,16.0,290.0,1,7.0,290.0,34.0,26.0,21.0,1.0,0.66666,1.0,0.0
14,96.0,55,Bournemouth AFC,51.0,Middlesbrough FC,2016-10-29 14:00:00,10,3.0,0,4-2-3-1,0.6428571428571429,0.3125,8,1,3,2,0.5952380952380952,0,0,142.0,6.0,29.0,122.0,4,12.0,17.0,292.0,4,15.0,308.0,30.0,23.0,29.0,149.0,7.0,23.0,128.0,1,8.0,12.0,275.0,0,10.0,273.0,25.0,32.0,23.0,1.0,1.0,1.0,0.66666
15,97.0,56,Liverpool FC,59.0,Crystal Palace,2016-10-29 16:30:00,10,3.0,0,4-3-3,0.8333333333333334,0.16666666666666666,4,2,2,5,0.5297619047619048,0,0,186.0,3.0,29.0,148.0,2,3.0,16.0,320.0,2,17.0,349.0,15.0,18.0,29.0,153.0,,27.0,117.0,2,5.0,24.0,293.0,0,12.0,293.0,29.0,30.0,27.0,0.66666,0.33333,0.66666,0.0
16,92.0,57,Watford FC,50.0,Hull City,2016-10-29 14:00:00,10,3.0,1,5-3-2,0.6875,0.0,3,1,2,10,0.45086050724637683,0,0,136.0,5.0,21.0,131.0,3,14.0,12.0,276.0,0,11.0,252.0,34.0,31.0,21.0,128.0,7.0,20.0,113.0,0,14.0,14.0,318.0,1,9.0,305.0,40.0,24.0,20.0,0.33333,0.0,0.33333,0.33333
17,93.0,58,Manchester United,53.0,Burnley FC,2016-10-29 14:00:00,10,3.0,1,4-2-3-1,0.35714285714285715,0.28571428571428575,1,3,5,5,0.6561461794019934,0,0,162.0,9.0,31.0,160.0,1,8.0,21.0,260.0,0,15.0,313.0,21.0,17.0,31.0,114.0,,17.0,82.0,2,19.0,8.0,285.0,1,7.0,268.0,43.0,30.0,17.0,0.33333,1.0,1.0,0.0
18,97.0,59,Crystal Palace,56.0,Liverpool FC,2016-10-29 16:30:00,10,3.0,1,4-2-3-1,0.16666666666666666,0.8333333333333334,2,4,5,2,0.439922480620155,0,0,153.0,,27.0,117.0,2,5.0,24.0,293.0,0,12.0,293.0,29.0,30.0,27.0,186.0,3.0,29.0,148.0,2,3.0,16.0,320.0,2,17.0,349.0,15.0,18.0,29.0,0.33333,0.66666,0.0,0.66666
19,91.0,60,Sunderland AFC,43.0,Arsenal FC,2016-10-29 11:30:00,10,3.0,1,4-3-2-1,0.1923076923076923,0.8333333333333334,1,4,4,2,0.5215617715617715,0,0,146.0,7.0,15.0,162.0,1,14.0,12.0,255.0,0,6.0,274.0,35.0,26.0,15.0,186.0,,30.0,233.0,2,9.0,19.0,298.0,2,14.0,388.0,22.0,15.0,30.0,0.0,0.66666,0.66666,0.66666
20,80.0,61,1899 Hoffenheim,63.0,Hertha BSC,2016-10-30 14:30:00,9,3.0,1,3-5-2,1.0,0.8076923076923077,7,5,2,2,0.5527408637873754,0,0,157.0,5.0,35.0,140.0,3,11.0,16.0,284.0,4,18.0,292.0,23.0,23.0,35.0,138.0,9.0,28.0,114.0,3,7.0,11.0,275.0,2,13.0,263.0,31.0,36.0,28.0,1.0,0.66666,0.66666,0.66666
21,79.0,62,FC Schalke 04,67.0,Borussia Dortmund,2016-10-29 16:30:00,9,3.0,0,4-2-3-1,0.8076923076923077,0.35714285714285715,8,4,1,6,0.5708255159474671,0,0,141.0,,25.0,120.0,7,12.0,10.0,249.0,1,16.0,266.0,21.0,18.0,25.0,186.0,3.0,37.0,201.0,4,8.0,22.0,326.0,0,19.0,382.0,26.0,13.0,37.0,1.0,0.0,0.66666,0.0
22,80.0,63,Hertha BSC,61.0,1899 Hoffenheim,2016-10-30 14:30:00,9,3.0,0,4-2-3-1,0.8076923076923077,1.0,5,7,2,2,0.5828754578754578,0,0,138.0,9.0,28.0,114.0,3,7.0,11.0,275.0,2,13.0,263.0,31.0,36.0,28.0,157.0,5.0,35.0,140.0,3,11.0,16.0,284.0,4,18.0,292.0,23.0,23.0,35.0,0.66666,0.0,0.66666,0.66666
