,scheduled,team_name,opp_name,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,offensive_ranking,opp_defensive_ranking,SVC,0,1,2
28,9/24/16 14:00,Stoke City,West Bromwich Albion,1,9,4,3,0.04,0.888888889,0.888888889,0.396610169,0.57704918,1.156862745,1.101083032,0.33333,0.66666,0,1.03317188,0.304558152,-0.73509951
29,9/24/16 14:00,Hull City,Liverpool FC,2,6,7,3,0.095238095,0.869565217,0.869565217,0.320610687,0.602006689,0.85620915,1.141221374,0,0.66666,0,0.796165162,0.927659223,0.281188861
35,9/24/16 14:00,Liverpool FC,Hull City,7,3,2,6,0.269230769,0.853658537,0.853658537,0.490196078,0.586319218,1.03030303,1.051369863,0.66666,0,3,0.161319082,-0.392052886,-0.334707455
30,9/24/16 14:00,Middlesbrough FC,Tottenham Hotspur,2,5,6,1,0.111111111,0.956521739,0.956521739,0.391304348,0.436363636,1.035369775,0.905349794,0,1,0,0.775878056,0.123590613,-0.574399053
33,9/24/16 14:00,Tottenham Hotspur,Middlesbrough FC,6,1,2,5,0.136363636,0.791666667,0.791666667,0.46835443,0.413173653,1.136690647,1.027692308,1,0.66666,3,-0.077907128,-0.493034533,-0.117234593
31,9/24/16 11:30,Leicester City,Manchester United,6,5,3,5,0.25,0.827586207,0.827586207,0.51863354,0.552845528,1.129824561,1.008196721,0.33333,0.33333,1,-0.051320697,0.920878189,0.899234111
37,9/24/16 11:30,Manchester United,Leicester City,3,5,6,5,0.083333333,0.807692308,0.807692308,0.590062112,0.392361111,1.188191882,1.054945055,0.66666,0.33333,1,-1.179704458,-0.631159201,0.186738387
32,9/26/16 19:00,Burnley FC,Watford FC,1,7,8,6,0.0625,0.8,0.8,0.392361111,0.590062112,1.054945055,1.188191882,0,0.33333,3,-0.379223698,-0.235157723,-0.172970537
36,9/26/16 19:00,Watford FC,Burnley FC,8,6,1,7,0.25,0.78125,0.78125,0.552845528,0.51863354,1.008196721,1.129824561,1,0.33333,0,0.712928893,0.661389739,0.497784391
38,9/24/16 14:00,Crystal Palace,Sunderland AFC,7,3,1,5,0.225806452,0.9,0.9,0.53307393,0.46835443,0.937956204,1.136690647,0.66666,0,0,0.373560939,0.457368255,0.513175671
39,9/24/16 14:00,Sunderland AFC,Crystal Palace,1,5,7,3,0.071428571,0.884615385,0.884615385,0.436363636,0.396610169,0.905349794,1.156862745,0,0.66666,3,-0.053922283,-0.158142076,-0.140836669
40,9/25/16 13:30,1899 Hoffenheim,FC Schalke 04,5,5,1,7,0.161290323,0.730769231,0.730769231,0.552188552,0.372340426,1.053191489,1.048327138,1,0.33333,3,-0.114217634,-0.630415643,-0.757915586
41,9/25/16 13:30,FC Schalke 04,1899 Hoffenheim,1,7,5,5,0.058823529,0.861111111,0.861111111,0.416666667,0.5,1.067484663,1.146067416,0,0,0,0.079394313,0.388970782,0.160022925
42,9/24/16 13:30,Hertha BSC,Eintracht Frankfurt,4,3,4,2,0.235294118,0.9,0.9,0.372340426,0.540625,1.048327138,1.146953405,0,1,0,1.081291737,0.906546384,0.126986526
48,9/24/16 13:30,Eintracht Frankfurt,Hertha BSC,4,2,4,3,0.117647059,0.884615385,0.884615385,0.434628975,0.416666667,0.975862069,1.067484663,1,0.66666,3,0.029251441,-0.751094321,-0.820250946
43,9/23/16 18:30,SC Freiburg,Borussia Dortmund,4,4,11,2,0.166666667,0.909090909,0.909090909,0.455149502,0.465346535,1.135849057,0.859574468,0.33333,1,0,0.878316417,1.111105027,0.339823787
46,9/23/16 18:30,Borussia Dortmund,SC Freiburg,11,2,4,4,0.314285714,0.764705882,0.764705882,0.509090909,0.423913043,1.2,1.073929961,1,1,3,0.225994712,-0.492625015,-0.503459009
44,9/24/16 13:30,Hamburger SV,Bayern Munich,1,8,8,1,0.0625,0.947368421,0.947368421,0.445229682,0.515679443,1.032846715,1.264317181,0,1,0,0.698531722,0.30503851,-0.363921168
55,9/24/16 13:30,Bayern Munich,Hamburger SV,8,1,1,8,0.25,0.68,0.68,0.438679245,0.459183673,1.136729223,1.053763441,1,0.33333,3,0.409499241,-0.229437885,-0.464740893
45,9/24/16 13:30,Monchengladbach,FC Ingolstadt,6,5,1,7,0.4,0.708333333,0.708333333,0.424332344,0.438679245,1.162068966,1.136729223,0.33333,0.33333,3,0.162242359,-0.21553614,-0.32954465
51,9/24/16 13:30,FC Ingolstadt,Monchengladbach,1,7,6,5,0.04,0.772727273,0.772727273,0.515679443,0.509881423,1.264317181,0.992156863,0,0.66666,0,0.077325102,0.454201366,0.295888896
47,9/24/16 13:30,FC Augsburg,SV Darmstadt 98,3,4,2,7,0.12,0.825,0.825,0.40070922,0.509090909,1.032967033,1.2,0.33333,0,3,-0.222628285,-1.148013184,-1.492424868
56,9/24/16 13:30,SV Darmstadt 98,FC Augsburg,2,7,3,4,0.105263158,0.862068966,0.862068966,0.465346535,0.615384615,0.859574468,0.961089494,0,0.33333,0,0.794686296,1.112725716,0.092833822
